,sample,SHM
0,1.0,0.47058916659630146
1,2.0,0.4721436479120343
2,3.0,0.04362281516507656
3,5.0,0.44080803709645633
4,6.0,0.704380224605252
5,7.0,0.6166040417686958
6,9.0,0.6043358946212953
7,10.0,0.47614061752371306
8,11.0,0.3736173266908721
9,12.0,0.573643361760815
10,13.0,0.5193776562807846
11,14.0,0.35721030707309515
12,15.0,0.1309106645275691
13,17.0,0.6233429029806636
14,18.0,0.38279175696848594
15,20.0,0.4228609023614511
16,21.0,0.309523910045315
17,22.0,0.27455810746151044
18,23.0,0.2992590559824369
19,24.0,0.8149082439697148
