,sample,SHM
0,1.0,8.023800004997376
1,2.0,8.034840042311119
2,3.0,4.991454486394643
3,4.0,6.039116963594112
4,5.0,7.812292296544314
5,6.0,9.684200794582845
6,7.0,9.060808075760225
7,8.0,13.982684090852302
8,9.0,8.973678818620225
9,10.0,8.063226805926888
10,11.0,7.335099072986681
11,12.0,8.75569825841433
12,13.0,8.370299342845007
13,14.0,7.218575247994804
14,15.0,5.611379026011344
15,16.0,14.635146548062263
16,17.0,9.108667949326605
17,18.0,7.400256531987374
18,19.0,9.191519452287547
19,20.0,7.684830464006396
20,21.0,6.879903050898278
21,22.0,6.631573423952426
22,23.0,6.807001324304739
23,24.0,10.469178681192375
