,SHM
0,8.03140851053197
1,7.817970565453137
2,8.143699557732191
3,8.102121386272206
4,8.602833512405986
5,8.257914594837711
6,7.243772019689662
7,4.92656355413408
8,5.411359036505836
9,4.681642137877613
10,4.946253217061043
11,5.788660952999674
12,6.28957297418855
13,7.647435096574297
14,7.790509982259315
15,7.820993978161464
16,7.990230129182179
17,9.500862047425102
18,8.779465780465257
19,10.250343569625944
20,10.999425301716599
21,8.890907273681316
22,9.146672996676743
23,8.948552010194646
24,9.125284225781462
25,9.022838010044724
26,9.060693136103547
27,15.691087179230905
28,12.868768896329426
29,12.631118662702084
30,14.739761625146796
31,8.494340471252592
32,9.052772294545363
33,9.705479623197824
34,8.885485120311836
35,8.73031658379351
36,7.907998300892031
37,9.252692336523326
38,7.749356587791409
39,7.7389870318083
40,7.667099772619375
41,7.3354488893331
42,7.22073411458984
43,7.388995777216959
44,7.463056895130054
45,7.267259688663451
46,8.542590140176406
47,8.296794183053898
48,7.943829489518003
49,9.766097798655705
50,9.229179680667649
51,9.419904550111191
52,7.8867094775243
53,7.987106768946301
54,8.18747657479823
55,7.372929212163616
56,7.065615551835285
57,7.241448239674172
58,7.316184003398214
59,7.096699232902726
60,5.634766747457585
61,5.761875015616802
62,5.5095574823217826
63,5.4004147822393245
64,5.750281102421226
65,14.844131830788836
66,13.50920766597536
67,13.415281976962092
68,15.777616751205617
69,15.629494515379424
70,9.123360235876167
71,9.042202843507157
72,9.07286174758252
73,9.074760750605932
74,9.230154169061242
75,7.60255865670523
76,7.1627145748482075
77,7.435496364408684
78,9.316833662327276
79,9.2565902900977
80,9.454561355288472
81,8.917968066764947
82,9.011643886959346
83,9.5504859948527
84,7.067889358087002
85,6.394992628869843
86,8.768946303190825
87,6.641838035031608
88,6.923864970890285
89,7.107268683940929
90,6.274006146772944
91,7.607231203618099
92,6.487144249269132
93,7.144399190425028
94,7.285924889433049
95,5.599810099697659
96,6.420429274630819
97,6.707303665575573
98,8.346343169835835
99,6.546388146223233
100,5.679768121736088
101,6.655505859423803
102,9.321980959996003
103,9.389745383673572
104,10.182679093475926
105,9.18280402788536
106,11.646660503235804
107,11.776667249693908
108,11.783713550386048
