,sample,Colour_L*,Colour_a*,Colour_b*
0,1.0,0.3971599174136283,0.033105890714493685,0.17945472966740109
1,2.0,0.09966945369570264,0.02694438717061498,0.10183319694480764
2,3.0,0.27655017627909684,0.0640780773744032,0.350334126228091
3,4.0,0.02976575213227436,0.008124038404635959,0.01363818169698586
4,5.0,0.10835128056465185,0.020396078054371138,0.1657588609999477
5,6.0,0.13208330704521343,0.02949576240750525,0.3154203544478382
6,7.0,0.14321312788986887,0.044609416046390925,0.2631919451655008
7,8.0,0.08698275691193044,0.05063595560468865,0.10331505214633531
8,9.0,0.1641158127664723,0.03187475490101846,0.23183183560503506
9,10.0,0.24687243669555395,0.351149540794232,0.07045565981523416
10,11.0,0.14727525250360285,0.07345747068882785,0.14964624953536246
11,12.0,0.086971259620636,0.04324349662087929,0.12936769303036985
12,13.0,0.14516886718577143,0.13277801022759742,0.25695524902208133
13,14.0,0.12187698716328614,0.06382789358893179,0.06260990336999407
14,15.0,0.1355359730846396,0.015297058540778287,0.0810185164021164
15,16.0,0.11311056537742178,0.011661903789690611,0.03512833614050055
16,17.0,0.07742092740338195,0.006633249580710805,0.02222611077089287
17,18.0,0.4797561880789036,0.07159608927867497,0.220893639564384
18,19.0,0.10470912090166758,0.008366600265340762,0.014142135623730945
19,20.0,0.43787441121855886,0.16626484896092739,0.1267911668847637
20,21.0,0.04884669896727989,0.02501999200639358,0.07176350047203653
21,22.0,0.028565713714171267,0.00547722557505166,0.01643167672515497
22,23.0,0.033615472627943406,0.0058309518948453,0.008000000000000007
23,24.0,0.6523679943099598,0.03807886552931953,0.14256928140381434
