,Colour_L*,Colour_a*,Colour_b*,Colour_DeltaE,Colour_DeltaL
101,52.02,-4.78,-4.95,22.800129829674212,22.399499999999996
102,51.87,-4.82,-5.27,22.985688378858704,22.549500000000002
103,51.75,-4.84,-5.14,23.09331873616263,22.6695
104,51.76,-4.71,-4.88,23.03818439569403,22.6595
105,29.16,-0.1,-1.89,45.280123898350816,45.2595
106,29.19,-0.12,-1.86,45.250341106449135,45.2295
107,29.21,-0.13,-1.79,45.23169895383104,45.2095
108,29.31,-0.12,-1.86,45.130396522188896,45.1095
109,29.15,-0.13,-1.85,45.29032623254109,45.2695
110,27.61,-0.02,-1.23,46.84914866088817,46.8095
111,27.71,0.0,-1.2,46.750733579805996,46.7095
112,27.72,0.01,-1.19,46.74132689868785,46.6995
113,27.67,-0.02,-1.23,46.78919950426594,46.7495
114,27.54,-0.01,-1.21,46.920006183396865,46.8795
115,76.3,-1.13,-3.04,1.8922156985925236,1.8804999999999978
116,76.03,-1.04,-3.05,1.625629185884655,1.6105000000000018
117,72.97,-0.95,-2.93,1.4592156283428441,1.4495000000000005
118,73.61,-1.06,-2.3,0.9701702170237961,0.8094999999999999
119,74.65,-0.92,-2.66,0.33411113420537586,0.23050000000000637
