1.0000,-0.3432,0.0000
1.0000,-0.3525,0.0000
1.0000,-0.3217,0.0000
1.0000,-0.2326,0.0000
1.0000,-0.0924,0.0000
1.0001,0.0710,0.0003
1.0002,0.2094,0.0006
1.0006,0.3170,0.0018
1.0012,0.4233,0.0036
1.0016,0.5302,0.0048
1.0019,0.6392,0.0057
1.0021,0.7278,0.0063
1.0024,0.8163,0.0072
1.0027,0.9026,0.0081
1.0029,0.9877,0.0087
1.0031,1.0768,0.0093
1.0034,1.1580,0.0102
1.0037,1.2374,0.0111
1.0039,1.3196,0.0117
1.0042,1.3858,0.0126
1.0045,1.4625,0.0135
1.0048,1.5355,0.0144
1.0051,1.6052,0.0153
1.0054,1.6810,0.0162
1.0057,1.7525,0.0171
1.0060,1.8136,0.0180
1.0063,1.8811,0.0189
1.0065,1.9365,0.0195
1.0068,1.9981,0.0204
1.0071,2.0545,0.0213
1.0074,2.1299,0.0222
1.0077,2.1980,0.0231
1.0079,2.2609,0.0237
1.0082,2.3195,0.0246
1.0084,2.3753,0.0252
1.0087,2.4266,0.0261
1.0089,2.4974,0.0267
1.0092,2.5554,0.0276
1.0094,2.5980,0.0282
1.0097,2.6470,0.0291
1.0099,2.6997,0.0297
1.0101,2.7580,0.0303
1.0104,2.8255,0.0312
1.0106,2.8830,0.0318
1.0109,2.9322,0.0327
1.0111,2.9796,0.0333
1.0113,3.0281,0.0339
1.0115,3.0804,0.0345
1.0117,3.1305,0.0351
1.0117,3.1761,0.0351
1.0118,3.2216,0.0354
1.0118,3.2765,0.0354
1.0119,3.3265,0.0357
1.0117,3.3794,0.0351
1.0116,3.4241,0.0348
1.0116,3.4786,0.0348
1.0117,3.5103,0.0351
1.0119,3.5524,0.0357
1.0121,3.6064,0.0363
1.0124,3.6539,0.0372
1.0127,3.6974,0.0381
1.0131,3.7357,0.0393
1.0133,3.7832,0.0399
1.0136,3.8361,0.0408
1.0139,3.8715,0.0417
1.0142,3.9085,0.0426
1.0143,3.9464,0.0429
1.0146,3.9930,0.0438
1.0148,4.0338,0.0444
1.0151,4.0775,0.0453
1.0154,4.1199,0.0462
