,sample,Rhe_100.00,Rhe_3.16,Rhe_0.10,Rhe_Crossover,Rhe_Log
0,11.0,0.19252349697113186,0.17384048563050408,0.22601471537149564,0.6417178020137938,0.559098415893666
1,14.0,0.22142572453964354,0.20113458702108744,0.24691714343759275,0.6302366969239483,0.5623131786936756
2,10.0,0.19569716691568234,0.19198740857190102,0.25670899706307715,0.5361256957619427,0.5380798567321206
3,4.0,0.12970675024850029,0.0,0.0,1.0,0.47629168393215476
4,13.0,0.2330030194975538,0.23611736005356354,0.3135541564589277,0.44516699554265754,0.4897431295926568
5,21.0,0.2196957755810948,0.16705931322820256,0.33935733037635235,0.2639009574907572,0.09996800472677805
6,23.0,0.12480808616709398,0.0891729345123214,0.21887579589946418,0.5399202346915372,0.2246545486433936
7,18.0,0.11328165363194523,0.025218626922644205,0.20710180486582333,0.5676738798668874,0.0
8,22.0,0.17275271036540885,0.12906894007080233,0.245249690688458,0.5260411418691163,0.2735006843548618
9,20.0,0.11646890644844655,0.06314285329020422,0.21076801779902385,0.5506721101644347,0.21795194644174232
10,2.0,0.11624118463515871,0.1681653119984944,0.2784185560717521,0.38884468984234105,0.44753594194708296
11,3.0,0.16184736361771543,0.0609794531810602,0.17462073682509124,0.7062471701445772,0.22570712452598748
12,17.0,0.07417550940265917,0.015371122345597602,0.15983343018670257,0.5914670633987812,0.21230804201350503
13,16.0,0.41147278067856324,0.47447583142408256,0.4320359020095677,0.5404519098786307,0.9797104509245133
14,19.0,0.31323452328787194,0.4063530021973182,0.3833553705055017,0.5814184104898386,1.0
15,1.0,0.1485703150248578,0.14239918391936235,0.24730302919279945,0.4723331871816231,0.38803543310847277
16,15.0,0.2788330897113145,0.13663753892283648,0.1797011778308107,0.7583388962735494,0.34727281271284655
17,12.0,0.22480363717746307,0.22526192397527717,0.3604622445161144,0.2547998980836289,0.26284199299276134
18,6.0,0.27442209722569105,0.2853865574420101,0.33247116313082786,0.45366588688586695,0.5253802292513147
19,5.0,0.0,0.08438603544963404,0.23505392147367968,0.38066496780566056,0.42517508118290004
20,7.0,0.2817264813884308,0.30406637634621925,0.34564340063145227,0.43194408138689966,0.5750088784313433
21,9.0,0.2866707980071533,0.3031938514938902,0.37001312464355424,0.3766244790869709,0.46450518780341077
22,8.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.4584269630154388
23,24.0,0.07879719567972229,0.1252100406671937,0.2730990794147395,0.3977492438356756,0.2387750842015934
