,sample,TGA_Residue,TGA_Temp_160-180,TGA_Temp_300-320,TGA_Temp_380-400,TGA_Temp_460-480,TGA_Temp_480-500
0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,0.001915905720928326,0.04515434395254382,0.04317903220947605,0.05720772521761868,0.04824458581657237,0.048320474162950114
4,13.0,0.0,0.0,0.0,0.0,0.0,0.0
5,21.0,0.02281933567377803,0.06217935563305304,0.003734721593482315,0.07789757412398886,0.3975614405896877,0.28976414799826195
6,23.0,0.0018903591682419285,0.05951159450028642,0.032895729591071454,0.03717430368373739,0.05965546351350467,0.1529545052007345
7,18.0,0.008506616257088845,0.21075312948899627,0.011770031688551284,0.008299640610962666,0.022619018400355875,0.09528229099902777
8,22.0,0.012557385903321614,0.022983788220829856,0.015617926663634818,0.08849955076370103,0.10141371718920926,0.22435231328515923
9,20.0,0.005130974885228193,0.0402216293864574,0.011392787083145837,0.038162623539982996,0.12642888576733605,0.25191133203277805
10,2.0,0.004996557417005296,0.04687490133617676,0.013287176468994126,0.1905820959213937,0.15296061023255633,0.2521682371052435
11,3.0,0.010201761862639082,0.061306589986122983,0.004104942142512032,0.061503945749271996,0.10455727291013611,0.17079784025227976
12,17.0,0.005266000540102617,0.05520213420890524,0.022332880639788708,0.0330188679245283,0.002430967986451926,0.14887142214571228
13,16.0,0.0,0.0,0.0,0.0,0.0,0.0
14,19.0,0.006346205779098028,0.008105889595717217,0.015580202203108613,0.055233602875111365,0.09149463720128774,0.08946180712621031
15,1.0,0.0014852822036187019,0.02236815103632633,0.005356873396712619,0.21316262353998078,0.11812226986998142,0.301218442315362
16,15.0,0.0,0.0,0.0,0.0,0.0,0.0
17,12.0,0.0,0.0,0.0,0.0,0.0,0.0
18,6.0,0.0,0.0,0.0,0.0,0.0,0.0
19,5.0,0.012287334593572757,0.15329365893705496,0.00022634676324773118,0.09113881401617312,0.01569255760777688,0.07784218258827487
20,7.0,0.0,0.0,0.0,0.0,0.0,0.0
21,9.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24.0,0.004770906472229723,0.01722820217432768,0.010583039187492132,0.05875357946524701,0.08456308204042656,0.12559653048552805
