100.0245000,100.0253333,100.0286667,100.0286667,100.0260000,100.0430000,100.0150000,100.0080000,100.0200000,100.0100000,100.0130000,100.0310000,100.0120000,100.0170000,100.0090000,100.0220000,100.0395000,100.0165000,100.0205000,100.0240000,100.0280000,100.0235000,100.0275000,100.0410000
100.0245000,100.0256667,100.0293333,100.0290000,100.0260000,100.0430000,100.0160000,100.0090000,100.0210000,100.0110000,100.0140000,100.0320000,100.0120000,100.0180000,100.0100000,100.0230000,100.0400000,100.0170000,100.0215000,100.0250000,100.0285000,100.0245000,100.0280000,100.0413333
100.0250000,100.0260000,100.0300000,100.0290000,100.0265000,100.0430000,100.0160000,100.0100000,100.0220000,100.0110000,100.0150000,100.0320000,100.0130000,100.0190000,100.0100000,100.0240000,100.0400000,100.0175000,100.0220000,100.0250000,100.0290000,100.0245000,100.0285000,100.0416667
100.0255000,100.0266667,100.0303333,100.0296667,100.0265000,100.0430000,100.0170000,100.0100000,100.0230000,100.0120000,100.0150000,100.0320000,100.0130000,100.0190000,100.0110000,100.0240000,100.0405000,100.0175000,100.0230000,100.0255000,100.0300000,100.0250000,100.0290000,100.0416667
100.0260000,100.0266667,100.0310000,100.0303333,100.0270000,100.0430000,100.0180000,100.0110000,100.0230000,100.0120000,100.0160000,100.0320000,100.0140000,100.0200000,100.0110000,100.0250000,100.0410000,100.0180000,100.0235000,100.0260000,100.0300000,100.0255000,100.0295000,100.0416667
100.0265000,100.0273333,100.0313333,100.0303333,100.0270000,100.0430000,100.0180000,100.0120000,100.0240000,100.0120000,100.0170000,100.0330000,100.0140000,100.0200000,100.0110000,100.0260000,100.0410000,100.0180000,100.0240000,100.0260000,100.0305000,100.0260000,100.0295000,100.0423333
100.0265000,100.0273333,100.0316667,100.0310000,100.0270000,100.0430000,100.0180000,100.0130000,100.0240000,100.0130000,100.0170000,100.0330000,100.0140000,100.0210000,100.0120000,100.0270000,100.0415000,100.0185000,100.0250000,100.0270000,100.0310000,100.0260000,100.0305000,100.0423333
100.0270000,100.0276667,100.0326667,100.0313333,100.0275000,100.0430000,100.0190000,100.0130000,100.0250000,100.0130000,100.0180000,100.0330000,100.0150000,100.0210000,100.0120000,100.0280000,100.0415000,100.0185000,100.0255000,100.0270000,100.0315000,100.0265000,100.0305000,100.0426667
100.0270000,100.0280000,100.0326667,100.0316667,100.0275000,100.0430000,100.0190000,100.0140000,100.0250000,100.0140000,100.0190000,100.0330000,100.0150000,100.0220000,100.0120000,100.0290000,100.0420000,100.0190000,100.0265000,100.0275000,100.0315000,100.0270000,100.0305000,100.0430000
100.0275000,100.0283333,100.0333333,100.0320000,100.0275000,100.0430000,100.0200000,100.0140000,100.0260000,100.0140000,100.0190000,100.0340000,100.0160000,100.0220000,100.0120000,100.0290000,100.0425000,100.0195000,100.0270000,100.0280000,100.0320000,100.0270000,100.0315000,100.0430000
100.0280000,100.0290000,100.0336667,100.0320000,100.0280000,100.0440000,100.0200000,100.0150000,100.0270000,100.0140000,100.0200000,100.0340000,100.0160000,100.0230000,100.0130000,100.0300000,100.0425000,100.0195000,100.0275000,100.0280000,100.0325000,100.0275000,100.0315000,100.0433333
100.0285000,100.0290000,100.0340000,100.0323333,100.0280000,100.0440000,100.0200000,100.0150000,100.0270000,100.0140000,100.0200000,100.0340000,100.0160000,100.0230000,100.0130000,100.0310000,100.0430000,100.0195000,100.0280000,100.0290000,100.0325000,100.0280000,100.0320000,100.0436667
100.0285000,100.0290000,100.0343333,100.0330000,100.0280000,100.0440000,100.0210000,100.0160000,100.0280000,100.0150000,100.0210000,100.0350000,100.0170000,100.0240000,100.0130000,100.0310000,100.0430000,100.0205000,100.0285000,100.0290000,100.0335000,100.0280000,100.0325000,100.0436667
100.0290000,100.0293333,100.0346667,100.0330000,100.0285000,100.0440000,100.0210000,100.0160000,100.0280000,100.0150000,100.0210000,100.0350000,100.0170000,100.0240000,100.0130000,100.0320000,100.0435000,100.0215000,100.0295000,100.0290000,100.0335000,100.0285000,100.0330000,100.0440000
100.0290000,100.0296667,100.0353333,100.0333333,100.0285000,100.0440000,100.0220000,100.0160000,100.0290000,100.0150000,100.0220000,100.0350000,100.0170000,100.0250000,100.0140000,100.0320000,100.0435000,100.0215000,100.0295000,100.0300000,100.0335000,100.0290000,100.0330000,100.0443333
100.0300000,100.0300000,100.0356667,100.0336667,100.0285000,100.0440000,100.0220000,100.0170000,100.0290000,100.0150000,100.0220000,100.0360000,100.0180000,100.0250000,100.0140000,100.0330000,100.0440000,100.0225000,100.0300000,100.0300000,100.0345000,100.0290000,100.0340000,100.0443333
100.0300000,100.0303333,100.0360000,100.0340000,100.0290000,100.0440000,100.0220000,100.0170000,100.0290000,100.0160000,100.0220000,100.0360000,100.0180000,100.0250000,100.0140000,100.0340000,100.0440000,100.0230000,100.0305000,100.0300000,100.0345000,100.0290000,100.0340000,100.0446667
100.0300000,100.0306667,100.0363333,100.0343333,100.0290000,100.0440000,100.0220000,100.0180000,100.0300000,100.0160000,100.0230000,100.0360000,100.0180000,100.0260000,100.0140000,100.0340000,100.0440000,100.0240000,100.0305000,100.0310000,100.0345000,100.0295000,100.0340000,100.0446667
100.0305000,100.0306667,100.0366667,100.0346667,100.0290000,100.0440000,100.0230000,100.0180000,100.0300000,100.0160000,100.0230000,100.0370000,100.0180000,100.0260000,100.0140000,100.0350000,100.0450000,100.0245000,100.0315000,100.0310000,100.0350000,100.0300000,100.0345000,100.0450000
