,sample,TT_SAB,TT_UTS,TT_YM,TT_SHM
0,11.0,0.0039636117970829115,0.04575154563575418,0.030161542524197657,0.0
1,14.0,0.0028227705340079343,0.03355975263088705,0.02552012917525296,0.0
2,10.0,0.0022527062340769784,0.04754302226241038,0.022271872126766578,0.0
3,4.0,0.0028164777714605495,0.029405218315985894,0.037180599396449625,0.0
4,13.0,0.0013685450410553268,0.013902981620433854,0.007583178773041992,0.0
5,21.0,0.010226410062585997,0.00840577050276902,0.02201329486086128,0.0
6,23.0,0.0003793779148030004,0.023951064112719387,0.029584829289697915,0.0
7,18.0,0.0012997076204525001,0.058595732575866415,0.027766831068992155,0.0
8,22.0,0.0013227297145411265,0.07925445507381289,0.056406451316318745,0.0
9,20.0,0.0014173402169125474,0.041846084936020704,0.027268241859388594,0.0
10,2.0,0.003836695783413574,0.010559706817890592,0.02652269931803375,0.0
11,3.0,0.04954647117472686,0.011602956806112097,0.01988428831730658,0.0
12,17.0,0.08311668260598867,0.013061528508818214,0.01812296526669498,0.0
13,16.0,0.10928991985991426,0.022760965959020402,0.046930432076166324,0.0
14,19.0,0.02058940830363141,0.024197780036988432,0.04471303707160044,0.0
15,1.0,0.03594286970264949,0.01815865059700201,0.019808591154990892,0.0
16,15.0,0.08841397811183804,0.02589264695491764,0.058411636381767745,0.0
17,12.0,0.02855452599411145,0.021983772781049453,0.045269819689576135,0.0
18,6.0,0.03210050400633511,0.007802878293546609,0.024651761611735396,0.0
19,5.0,0.029158766366569767,0.018554404228900243,0.03784352301882515,0.0
20,7.0,0.08112517134831027,0.013483711287033271,0.023814984444818114,0.0
21,9.0,0.026864437115110096,0.0055108935340512765,0.04166309928608694,0.0
22,8.0,0.0016426748913699082,0.07333225221512965,0.019932649010737907,0.0
23,24.0,0.12550748182593593,0.014198840546504214,0.03864004277602656,0.0
