,sample,TT_SAB,TT_UTS,TT_YM,TT_SHM
0,11.0,0.020855579211341773,0.44428112399115605,0.15970305190323772,0.28151774785801703
1,14.0,0.01678782476864383,0.46047459438994237,0.1720640234548114,0.2631578947368421
2,10.0,0.014219218721491829,0.3779111561479634,0.05633040933885261,0.3610771113831089
3,4.0,0.018305934496662093,0.6425373069694528,0.5371703925516073,0.06119951040391675
4,13.0,0.017275779741003982,0.49957128381011773,0.20739269555743295,0.37821297429620565
5,21.0,0.08583575759262765,0.5796428478632859,0.23277673211129493,0.21175030599755193
6,23.0,0.00222079745935855,0.08771273416997953,0.15361635137779242,0.3133414932680537
7,18.0,0.006007652755285659,0.30586807089262463,0.40266759550647624,0.28396572827417377
8,22.0,0.004342229836528675,0.29876754921575255,0.33881167794904415,0.31211750305997543
9,20.0,0.006148900244641614,0.3368830786400355,0.32198756189881755,0.2545899632802937
10,2.0,0.03640408358956157,0.6989806081707243,0.4274626435320048,0.4149326805385556
11,3.0,0.3467813070752951,0.8548712181107535,0.7745818657184241,0.0
12,17.0,0.7655117463433407,0.7281469191204947,0.6273034124233988,0.5777233782129741
13,16.0,0.8344576922237323,0.5593564679229969,0.485084710380853,1.0
14,19.0,0.9794105916963686,0.6571903685474502,0.5905052324756416,0.6401468788249692
15,1.0,0.10645594678014052,0.9414471429437521,0.8190029085365652,0.613219094247246
16,15.0,0.307226254280593,0.845878694970596,0.814712731151063,0.06976744186046514
17,12.0,0.19234148508928942,0.7434483134070007,0.5383883334838503,0.3671970624235004
18,6.0,0.09335484029687786,0.7226323792696852,0.4271273763531464,0.7552019583843329
19,5.0,0.09382019182092431,0.7987236259120271,0.5175911919041397,0.6401468788249692
20,7.0,0.3894531986766877,0.6487694669938024,0.25161635588468906,0.496940024479804
21,9.0,0.11075008220748257,0.639007358081331,0.1821880330332253,0.6413708690330475
22,8.0,0.009081354049349438,0.28943279548938605,0.2653955593311114,0.9840881272949813
23,24.0,0.6473906530756456,0.8212890685413875,0.7650049113060372,0.6597307221542226
