1.100000,125661.000000,137217.000000,150324.000000,150376.000000,412649.000000,122338.000000,5.703813,6.003676,0.509772,0.900469,0.002024,0.384336
1.101000,129253.000000,129720.000000,144857.000000,145908.000000,410415.000000,125239.000000,5.144354,6.282717,0.557843,0.887309,0.001043,0.368893
1.102000,123162.000000,132740.000000,148213.000000,139797.000000,409873.000000,130930.000000,5.310624,6.310422,0.556716,0.951682,-0.001451,0.341992
1.103000,125134.000000,139046.000000,146099.000000,140975.000000,413050.000000,124961.000000,5.668336,5.796979,0.522833,0.994593,-0.003869,0.339267
1.103000,125113.000000,143528.000000,141403.000000,139840.000000,418154.000000,125215.000000,5.691668,5.614189,0.510696,0.978141,0.024086,0.326368
1.104000,116084.000000,143973.000000,143176.000000,145392.000000,426287.000000,129678.000000,5.615931,5.950196,0.514710,0.934278,0.035549,0.346189
1.105000,123649.000000,135726.000000,151236.000000,149093.000000,419426.000000,132486.000000,5.648979,5.618236,0.529388,0.879865,0.012650,0.328848
1.106000,123090.000000,132790.000000,151047.000000,147674.000000,404378.000000,139896.000000,5.499490,6.245424,0.550340,0.857070,0.012006,0.315103
1.107000,121948.000000,138187.000000,145366.000000,143891.000000,407842.000000,142235.000000,5.014886,6.450440,0.544507,0.902950,0.035396,0.304848
1.108000,123418.000000,132855.000000,143331.000000,139198.000000,407942.000000,135076.000000,4.985813,6.198419,0.542706,0.959740,0.050082,0.323000
1.108000,120655.000000,142929.000000,144004.000000,137232.000000,400773.000000,132430.000000,5.545934,5.735592,0.559412,0.872908,0.050045,0.374426
1.109000,113054.000000,146222.000000,146465.000000,141189.000000,404445.000000,127821.000000,5.390852,5.385203,0.581921,0.904909,0.061494,0.397883
1.110000,115313.000000,142174.000000,149978.000000,146087.000000,416655.000000,127354.000000,5.186382,5.413282,0.556478,0.880920,0.089092,0.337603
1.111000,120173.000000,134740.000000,149000.000000,138598.000000,426543.000000,125144.000000,4.679550,5.647995,0.509318,0.859957,0.097897,0.313848
1.112000,120490.000000,129112.000000,148698.000000,141358.000000,422760.000000,128540.000000,5.285526,5.736713,0.453022,0.913744,0.110849,0.293175
1.113000,119461.000000,129563.000000,151499.000000,139289.000000,417708.000000,125569.000000,5.540929,5.481143,0.472388,0.901535,0.139474,0.337813
1.113000,119910.000000,133333.000000,155273.000000,137481.000000,413787.000000,123214.000000,5.200146,5.600119,0.464222,0.879830,0.142132,0.327909
1.114000,117879.000000,134758.000000,151007.000000,142120.000000,421772.000000,121457.000000,5.157824,5.549752,0.434914,0.871158,0.147508,0.333967
1.115000,111295.000000,130653.000000,143100.000000,141067.000000,430972.000000,124567.000000,5.921384,5.384581,0.439184,0.921130,0.167730,0.314216
1.116000,110900.000000,132564.000000,133661.000000,139195.000000,437717.000000,133378.000000,5.535409,5.531821,0.437574,0.887877,0.174821,0.340947
1.117000,118510.000000,131755.000000,136908.000000,138447.000000,433163.000000,137397.000000,5.209861,5.638594,0.434025,0.906753,0.159280,0.317368
1.117000,116403.000000,129102.000000,135539.000000,142757.000000,425432.000000,127069.000000,5.201912,5.629380,0.450654,0.966476,0.165185,0.333471
1.118000,113625.000000,131467.000000,130625.000000,139889.000000,425974.000000,122999.000000,5.358687,5.147191,0.454334,0.917629,0.196004,0.325545
1.119000,106739.000000,133182.000000,131341.000000,141517.000000,418130.000000,119457.000000,5.282434,4.987125,0.430047,0.886717,0.203121,0.316037
1.120000,114972.000000,133034.000000,131071.000000,146668.000000,422524.000000,127105.000000,5.198453,4.936758,0.417319,0.938476,0.189907,0.315955
1.121000,118442.000000,125289.000000,130476.000000,142455.000000,428225.000000,125408.000000,5.075020,5.347164,0.401484,0.943218,0.161786,0.315453
1.122000,113812.000000,122718.000000,133264.000000,139789.000000,432477.000000,126446.000000,4.905144,5.315723,0.394798,0.918487,0.166097,0.300348
1.122000,113237.000000,121909.000000,133881.000000,144253.000000,420694.000000,123062.000000,5.394679,4.947778,0.425079,0.877975,0.198282,0.271212
1.123000,123611.000000,128501.000000,129809.000000,144662.000000,413182.000000,127642.000000,5.435529,4.829487,0.436662,0.933884,0.223006,0.268032
1.124000,118367.000000,127996.000000,127675.000000,142529.000000,420884.000000,123602.000000,5.113367,4.813923,0.437485,0.874787,0.234265,0.307370
1.125000,113944.000000,122086.000000,125020.000000,139035.000000,432472.000000,126361.000000,4.860540,4.997647,0.446723,0.873488,0.208312,0.326047
1.126000,113836.000000,120186.000000,123899.000000,143857.000000,434462.000000,125003.000000,5.026221,4.841130,0.498320,0.861233,0.193057,0.329683
1.127000,115966.000000,119936.000000,128976.000000,138760.000000,421715.000000,123374.000000,5.366636,5.123470,0.484173,0.936864,0.222721,0.325603
1.128000,114930.000000,122887.000000,130918.000000,138648.000000,423069.000000,123360.000000,5.498901,5.146942,0.445524,0.910220,0.241052,0.306944
1.128000,113789.000000,120373.000000,131056.000000,137591.000000,427142.000000,123274.000000,5.305398,4.463285,0.422013,0.878822,0.239591,0.292049
1.129000,112112.000000,124908.000000,132605.000000,144114.000000,431412.000000,120686.000000,5.543726,4.450709,0.405129,0.891483,0.206726,0.313627
1.130000,109804.000000,125285.000000,141256.000000,141816.000000,431311.000000,115694.000000,5.893562,4.776319,0.388709,0.883854,0.212798,0.347811
1.131000,116455.000000,114304.000000,138884.000000,139108.000000,433076.000000,115149.000000,5.185719,5.096762,0.379196,0.866033,0.232055,0.349480
1.132000,117010.000000,114102.000000,132404.000000,140200.000000,453711.000000,121889.000000,4.600279,4.719228,0.408087,0.884967,0.247625,0.377724
