,sample,Colour_L*,Colour_a*,Colour_b*
0,11.0,0.5057962172056133,0.7136986301369863,0.47744079767345243
1,14.0,0.5041488712629653,0.7047945205479451,0.5105941005400915
2,10.0,0.3164429530201342,0.9397260273972602,0.0090569173244703
3,4.0,0.15460646735814523,0.8779109589041095,0.1364353967594516
4,13.0,0.5528065893837706,0.03938356164383554,0.9739925218113834
5,21.0,0.37086638194020743,0.5071917808219177,0.053178230162027426
6,23.0,0.0016778523489933013,0.9154109589041095,0.21221437474034066
7,18.0,0.29063453325198285,0.7631849315068492,0.1982550893228085
8,22.0,0.025381330079316672,0.9058219178082192,0.18570835064395516
9,20.0,0.3904514948139109,0.4544520547945205,0.2515164104694641
10,2.0,0.9964612568639414,0.8113013698630137,0.4233485666805151
11,3.0,0.9276998169615618,0.6989726027397261,0.3631906938097217
12,17.0,0.7468273337400854,0.8238013698630136,0.11416701287910262
13,16.0,0.6800183038438071,0.8241438356164382,0.14673867885334443
14,19.0,0.7138804148871263,0.8150684931506849,0.17199833818030746
15,1.0,0.6663514338010983,0.7385273972602739,0.3540506855006232
16,15.0,0.7301708358755338,0.6393835616438357,0.36235978396344
17,12.0,0.7163209273947528,0.7577054794520548,0.34840049854590777
18,6.0,0.6277303233679074,0.9143835616438356,0.6435396759451599
19,5.0,0.9072605247101893,0.8830479452054794,0.5100124636476943
20,7.0,0.6244661378889568,0.898972602739726,0.5392604902368092
21,9.0,0.917053081147041,0.8857876712328767,0.5016202742002493
22,8.0,0.9041488712629653,0.8357876712328766,0.614374740340673
23,24.0,0.7195241000610129,0.8287671232876713,0.14640631491483175
