,sample,DSC_HFM_160,DSC_C_HalfPeak,DSC_M_HalfPeak,DSC_HFC_102,DSC_Crystallininty
0,11.0,0.009174311926607276,0.10628482915843555,0.10318477267692586,0.05253653704881434,0.0
1,14.0,0.0043918674667739206,0.09517004641236093,0.11689793415012338,0.043384071460322915,0.0
2,10.0,0.02446483180427995,0.042354707679002096,0.06652047695282064,0.032545439614800185,0.0
3,4.0,0.003058103975536362,0.05059551135677182,0.035659287070644176,0.0020964360587014674,0.0
4,13.0,0.009445532239438125,0.07150183918812202,0.0653362160660033,0.030004680356923115,0.0
5,21.0,0.005296791460454177,0.068903256010623,0.08826097555544915,0.055108760704798115,0.0
6,23.0,0.018601720276126946,0.02616656227678782,0.024234113666527914,0.013747250575055388,0.0
7,18.0,0.045468411930274594,0.08348494706058893,0.08910678689409818,0.03448382421299087,0.0
8,22.0,0.030283336881252877,0.03611723207593542,0.04675973941954515,0.018403616211822564,0.0
9,20.0,0.024272947807935305,0.06854838709677391,0.07260524267111274,0.05768057229432744,0.0
10,2.0,0.0,0.026235512494547815,0.011952191235060602,0.01511761541075287,0.0
11,3.0,0.0022472382961322384,0.10417438403600998,0.12109587804372138,0.03843173866025799,0.0
12,17.0,0.0030581039755337015,0.09689545867053023,0.10476227581287412,0.05083587275883258,0.0
13,16.0,0.004587155963300487,0.024193548387095417,0.013944223107568486,0.05974842767295391,0.0
14,19.0,0.004587155963300552,0.038306451612900465,0.0517928286852558,0.009433962264149054,0.0
15,1.0,0.0030581039755336738,0.052419354838711636,0.06507304116865853,0.02306079664570349,0.0
16,15.0,0.0,0.1179966680305834,0.1454228746400869,0.04725126905486206,0.0
17,12.0,0.003058103975532701,0.04074598492264561,0.020096608167889916,0.03489164984715648,0.0
18,6.0,0.003058103975533688,0.1052600438972629,0.10433210805525768,0.09745609475194643,0.0
19,5.0,0.0030581039755363734,0.03429395382304707,0.01631899831001964,0.006289308176099333,0.0
20,7.0,0.003058103975536369,0.08969193882098311,0.09781487292600519,0.07210642986129924,0.0
21,9.0,0.0,0.03830645161290477,0.11155378486055931,3.7747582837255314e-15,0.0
22,8.0,0.003058103975533658,0.07080412468314816,0.06731116014594599,0.030882431577896663,0.0
23,24.0,0.0030581039755336733,0.011717470278335942,0.02744220228389205,0.007558807705378012,0.0
