,sample,DSC_HFM_160,DSC_C_HalfPeak,DSC_M_HalfPeak,DSC_HFC_102,DSC_Crystallininty
0,11.0,0.11009174311926466,0.6680107526881739,0.6586985391766255,0.5450733752620499,0.3869565217391305
1,14.0,0.07568807339449515,0.5292338709677434,0.5318725099601586,0.4874213836477912,0.6130434782608698
2,10.0,0.19571865443425365,0.38306451612903336,0.4966799468791492,0.39412997903563535,0.4173913043478263
3,4.0,0.15902140672782825,0.41666666666666874,0.46347941567064693,0.2851153039832249,0.5652173913043477
4,13.0,0.13211009174311916,0.45645161290322483,0.5346613545816762,0.4440251572327004,0.4086956521739131
5,21.0,0.4862385321101061,0.5725806451612881,0.6480743691899086,0.16771488469600856,0.49565217391304356
6,23.0,0.9694189602446803,0.3333333333333352,0.38645418326692654,0.06079664570230611,0.0
7,18.0,0.5527522935780012,0.7661290322580652,0.6762948207171293,0.14308176100627965,0.3608695652173913
8,22.0,0.502293577981673,0.6784274193548401,0.6912350597609558,0.2185534591194875,0.4391304347826089
9,20.0,0.5504587155963515,0.6975806451612941,0.656042496679944,0.11530398322850731,0.491304347826087
10,2.0,0.05504587155963566,0.4798387096774217,0.4382470119521915,0.43605870020963683,0.5739130434782609
11,3.0,0.04036697247706108,0.3209677419354843,0.40796812749004197,0.3786163522012511,0.6478260869565219
12,17.0,0.006116207951067404,0.4448924731182818,0.23771580345285423,0.44025157232703727,0.7782608695652176
13,16.0,0.004587155963300619,0.45564516129032245,0.6832669322709186,0.9402515723270461,0.6608695652173914
14,19.0,0.004587155963300553,0.4455645161290335,0.6055776892430271,0.6823899371069175,0.9521739130434785
15,1.0,0.006116207951067432,0.697580645161293,0.5962815405046497,0.5492662473794477,0.6260869565217393
16,15.0,0.01834862385321022,0.5766129032258072,0.4940239043824665,0.41299790356393595,1.0
17,12.0,0.021406727828742922,0.47715053763441184,0.4369189907038498,0.4444444444444377,0.7434782608695655
18,6.0,0.006116207951067418,0.6868279569892465,0.795484727755645,0.7085953878406682,0.4652173913043478
19,5.0,0.05198776758409929,0.5685483870967758,0.5949535192563076,0.5031446540880459,0.44347826086956516
20,7.0,0.042813455657490174,0.6505376344086002,0.7782204515272279,0.6268343815513591,0.5000000000000001
21,9.0,0.04587155963302654,0.08266129032257945,0.19920318725099553,0.3396226415094289,0.46086956521739153
22,8.0,0.006116207951067448,0.44758064516129065,0.5272244355909695,0.49475890985324256,0.32173913043478264
23,24.0,0.0030581039755337588,0.5631720430107534,0.3891102257636104,0.4612159329140393,0.6782608695652177
