,sample,PP Content,Irgafos Content,CaCO3 Content,Vinyl Content,PET Content,PA Content,CaSt Content
0,11.0,0.08228064418430567,0.6012787992594573,0.01071139305381003,0.44744428650026435,0.09121052099620276,0.029677338258930184,0.09818252965345144
1,14.0,0.060797838657672035,0.42203679377928016,0.0010931248555984458,0.39406970888750364,0.06533584181330215,0.04631055409478471,0.06944428250883138
2,10.0,0.2038728035118747,0.0014736871735071403,0.07062834647804833,0.12227407945275744,0.5097891710903891,0.06561383319584761,0.025555509563452757
3,4.0,0.1752706164289008,0.004668436120730539,0.022452668763887924,0.17688618986417995,0.1591758462569554,0.025296310043593874,0.04167657264759682
4,13.0,0.10522063053526438,0.011382963724456397,0.05026996162520919,0.20618075588580947,0.3648557385724167,0.11269000827604628,0.03109977511670177
5,21.0,0.4215391616077226,0.0106621758967498,0.176891157034931,0.3207536142679826,0.137814940294599,0.08223868163085273,0.03402074954288977
6,23.0,0.7152445955614086,0.013014814901792371,0.11314121990402137,0.24163874715070424,0.11903982892400164,0.03768055581886198,0.0029768611812522033
7,18.0,0.4395230557479505,0.00909570846199317,0.1380661028527837,0.37885710762588876,0.11020175085285866,0.03836962498377899,0.01090853485517523
8,22.0,0.4485598160034996,0.006982108498785165,0.09080859060157725,0.29026480565715856,0.15788296015212325,0.07671298349917884,0.028047527397753638
9,20.0,0.47949592813754954,0.008466692584370248,0.048869312852371304,0.31137090521968513,0.09087836222263107,0.0251522895922254,0.03863992340355674
10,2.0,0.07644483808512642,0.01355624594697978,0.021195797728090045,0.20567218468129705,0.11760040885839528,0.029899382964826856,0.0436031151199262
11,3.0,0.02246572825564243,0.016094391330420593,0.00956467594637817,0.35639663256477183,0.11546174500052857,0.027009270625130512,0.016433226748604677
12,17.0,0.004117206782175882,0.03379159316940743,0.0013199552107846172,0.48799941611973624,0.04972045166995795,0.03981726929069263,0.001973883378399625
13,16.0,0.0003281530520382373,0.05823833715817896,0.00042283610174508827,0.042154237573387765,0.02134575365463146,0.029047025036503138,0.011566239385407882
14,19.0,0.00040336213764034963,0.044974062839389414,0.0,0.03182883127900456,0.0372148232166168,0.02113548309706416,0.011218282066984702
15,1.0,0.006736551323959853,0.017182287350332465,0.012121016080711934,0.30845892671206554,0.12431194859191663,0.06096830244756865,0.015837201740143563
16,15.0,0.008133408782671572,0.020862387639579087,0.005587662964037324,0.49415840595774674,0.046524356315839996,0.03479859033740707,0.0024488355252097692
17,12.0,0.016515465705957574,0.020921341197281132,0.0028819227974116865,0.612380966904254,0.08240685548639531,0.034564763567533074,0.012740025540109489
18,6.0,0.02170445430254651,0.020540827311484693,0.002162723505740913,0.19647130274498506,0.06912488142745583,0.01262937882526527,0.1561432437294792
19,5.0,0.027267010552563285,0.009319725196475833,0.04763786572133534,0.20455890724266734,0.030648053340747848,0.055326817838749244,0.24591411724638787
20,7.0,0.053558188933208045,0.021736957168455348,0.005057698308978574,0.15152125487923354,0.029937006822686543,0.015797088185373634,0.3351582066257791
21,9.0,0.023969756352915,0.006651304309638172,0.08570710640474705,0.18530696539756858,0.10642919481428367,0.02325608439255966,0.27765984558828605
22,8.0,0.004618483232610077,0.021950308833229362,0.025523436046722976,0.3629325787358948,0.041126973747188274,0.7111383388109108,0.03721065900153789
23,401.0,0.2785700163520207,0.013975833247294404,0.09629788079243683,0.12121278906071387,0.20362697996720713,0.07616092872559967,0.11974693717136758
24,402.0,0.25030779989877294,0.008114399371840603,0.10802536338770476,0.1942138735044522,0.18321575420201067,0.09741750829538809,0.19601289103619898
25,403.0,0.16449284314588936,0.010461079021603993,0.04977402842297934,0.5771676482759702,0.09204284412858185,0.09547039034945208,0.11950173038926507
26,404.0,0.014979446005617588,0.035950230940611255,0.0018084746750336382,0.14890825486408307,0.1066826587175186,0.1142758649910871,0.2508325952523927
27,405.0,0.01449285886037235,0.0204929277946118,0.000689780134852323,0.14724537917865935,0.0727824251666713,0.08336654188501744,0.15325474768762876
28,406.0,0.123421840473012,0.014784254036376562,0.4122846909503698,0.11362565950607366,0.09024044701734454,0.10333253621131192,0.18858831906315196
29,407.0,0.0895686278105922,0.09777598759236797,0.07827310564559434,0.4673314064423345,0.2053445266997082,0.22294478927441064,0.5060350203954267
30,408.0,0.07404880233809033,0.01341744663411999,0.7094236653702749,0.2175354877383355,0.11808218586826287,0.13096706608563857,0.032738571116715506
31,409.0,0.10410115876945586,0.012779102146311132,0.03993763286731098,0.4167005881862391,0.3177405423820582,0.07881957897853065,0.10280594352588704
32,410.0,0.1114604117723042,0.013743487900231948,0.10023695831588064,0.7622929798853323,0.040362664727851855,0.0725410999236899,0.1342589192892077
33,411.0,0.0061753635179568655,0.011898731633474078,0.027193810749421805,0.32235126352508975,0.3360678821235459,0.0684922491865728,0.1047930722697728
34,412.0,0.05746418506063548,0.039048302498043266,0.009609945375383618,0.7870494059740982,0.13689373106941133,0.16243066361619077,0.2945560837129846
35,413.0,0.05667591849023008,0.040420075433840116,0.04839352124210448,0.3783856745244573,0.11322857247786765,0.14260670285636615,0.2836567316375019
36,414.0,0.04834855169816184,0.01841380818980074,0.03820592170475978,0.3111691555023445,0.07712541594519655,0.1065961320482326,0.15585235774261952
37,415.0,0.0029478758557382086,0.34386410635854026,0.009236638577132198,0.12061170988061236,0.09791846475397892,0.16460491067062843,0.1092246949708663
38,416.0,0.04239198577240849,0.01614750606383843,0.0068730351244015355,0.8532372188618098,0.054523182291327604,0.06867034946566859,0.08196198425348288
