,FTIR_777,FTIR_808,FTIR_825,FTIR_841,FTIR_854,FTIR_875,FTIR_908,FTIR_972,FTIR_997,FTIR_1018,FTIR_1066,FTIR_1082,FTIR_1166,FTIR_1195,FTIR_1213,FTIR_1261,FTIR_1367,FTIR_1377,FTIR_1398,FTIR_1409,FTIR_1435,FTIR_1490,FTIR_1541,FTIR_1577,FTIR_1631,FTIR_1645,FTIR_1658,FTIR_1739,FTIR_1978,FTIR_2162,FTIR_2952,FTIR_2960,FTIR_3297
0,0.0,0.0,0.0,0.0,0.0,0.0,0.16802920347774547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4313225316441029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1848351605947479,0.0,0.0,0.0,0.4089145888214215,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.10080537500973895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36409870317609755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4481284887611073,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.15682523206641152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3697006888817665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4369245173497678,0.0,0.0,0.0,0.11761133212673944,0.8066555739237931,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.1624272177720779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30807884611942493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162427217772078,0.9579091879768077,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.14562126065507522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34169076035342955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06719346077573478,0.0,0.6329940170481215,0.11761133212673944,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.17363118918341192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0615914750700698,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7002178455160912,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.15122324636074394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4873423887007756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4537304744667721,0.4649344458781064,0.9971230879164877,0.15122324636074316,1.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.15122324636074305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5545662171687801,0.0,0.0,0.0,0.0,0.0,0.4369276837166634,0.1288153035380753,0.0,1.0,1.0,0.9635111736824858,0.0,1.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039183532247397984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3304867889427258,0.3304867889427258,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041483458177775,0.34169076035342955,0.0,0.0,0.40891458882143505,0.6946158598104502,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06159147507006957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17923317488907464,0.3304867889427624,0.3304867889427624,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02797956083606597,0.1008053750097395,0.8346655024523317,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10080537500973838,0.0,0.0,0.14562126065507625,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11200934642107344,0.0,0.0,0.17923317488907983,0.0,0.44812848876124145,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.011174460671571977,0.0,0.1064073607154054,0.0,0.0,0.11200934642107434,0.0,0.16242721777220312,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022377575130399063,0.027979560836064163,1.0,0.0,0.0,0.044785517953063195,0.0,0.0615924191702902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05598948936383526,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.2912728890024231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179233174889076,0.5769741599914497,0.0,0.0,0.0,0.0,0.0,0.0,0.5937801171084528,0.0,0.15122324636074122,0.0,0.0,0.330486788942208,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.34169076035342777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08960140359840445,0.5377602600517774,0.0,0.0,0.0,0.0,0.0,0.0,0.8234615310408062,0.0,0.3360887746477607,0.0,0.0,0.52095430293475,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.27446693188542115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27446693188542215,0.4817404029951096,0.0,0.33608877464776277,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.14001927494939692,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.2296510462400845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04478551795306489,0.23525303194575153,0.5377602600517793,0.0,0.2128450891230796,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.45933246017240537,0.0,0.0,0.0
