1726.24756,1756.20226,1587.99215,1335.54044,1530.25991,2095.15825,2130.21107,3825.90351,2145.16158,1812.30338,1727.08596,1974.47550,1946.14129,1796.94933,1782.41728,2523.49996,1472.98195,1534.15311,2229.38828,1573.45924,1879.92278,1718.94516,1625.78850,1599.60488,734.06567,877.94933
1969.48877,2012.18288,1796.21630,1494.55215,1752.57206,2401.85441,2445.10695,4443.31286,2464.17383,2071.52037,1966.82184,2262.68051,2229.77920,2047.33509,2012.35388,2905.45678,1668.45794,1738.52163,2558.11396,1789.63881,2150.06977,1958.61913,1852.28772,1829.01273,883.71389,1023.97960
2243.61193,2300.87047,2029.03498,1668.51498,2004.63876,2747.64850,2800.22885,5148.21575,2824.79364,2363.40371,2235.14785,2589.72894,2550.38820,2327.94891,2267.94091,3335.12575,1888.16918,1967.68177,2927.09913,2032.46844,2455.10284,2228.32156,2106.53972,2091.39388,1063.33953,1189.02325
2555.03873,2629.81821,2291.35756,1861.74957,2292.31960,3141.76808,3205.33564,5961.85392,3236.71786,2695.30775,2538.90915,2963.23704,2915.99726,2645.85911,2554.99530,3825.78744,2136.38830,2226.44243,3347.24186,2307.48449,2802.42312,2534.31381,2394.74024,2389.17057,1281.04542,1381.36145
2902.02950,2997.78781,2581.27156,2070.16161,2614.43711,3579.73716,3657.17421,6878.85921,3697.24894,3062.48499,2874.93849,3382.72310,3322.14381,2997.64723,2870.28585,4369.99134,2411.85326,2514.20443,3813.88327,2612.82653,3187.98056,2873.91705,2713.90140,2728.96539,1528.19028,1596.41785
3293.63642,3414.61545,2905.81492,2299.59878,2979.56896,4074.59991,4168.80479,7928.53357,4219.53565,3475.97395,3252.50278,3858.99743,3780.96489,3393.09715,3221.86406,4985.47830,2721.08489,2837.52302,4341.05082,2956.32721,3623.01375,3256.28189,3072.83532,3117.55318,1821.32306,1842.44145
3730.62779,3880.78171,3265.00741,2547.65141,3388.37919,4626.70098,4740.06018,9120.83492,4805.73554,3935.05454,3671.59556,4396.33769,4293.70671,3832.82511,3608.75112,5666.96850,3064.50247,3197.32879,4924.13706,3338.95079,4111.08186,3682.52347,3471.90944,3560.65869,2167.55247,2127.29659
4222.43844,4406.92690,3666.01367,2819.63972,3850.16936,5248.86869,5384.51573,10484.88717,5469.17135,4450.43547,4141.28897,5005.94550,4871.97110,4326.20710,4038.84826,6432.83307,3448.96105,3600.61342,5578.36131,3768.54597,4662.21255,4161.60080,3919.71467,4063.39766,2555.63788,2445.77828
4761.99824,4985.39460,4102.72755,3108.17216,4358.62041,5931.16021,6091.23415,12005.85577,6199.65806,5013.01535,4653.28304,5681.53265,5506.86072,4864.33996,4505.08345,7265.52282,3869.79103,4043.82460,6287.08906,4239.36181,5272.66207,4686.61637,4410.25091,4656.43744,3020.58928,2801.86698
5362.07545,5630.38746,4584.83309,3420.20731,4926.15837,6690.50806,6878.16630,13723.88213,7015.54761,5636.71078,5219.83502,6439.08272,6213.97874,5460.18507,5017.75990,8187.89623,4336.14527,4536.21364,7069.89557,4762.08180,5955.83082,5269.79284,4954.77869,5307.52051,3561.03573,3202.54533
6023.47600,6344.14943,5112.88549,3754.13306,5554.52541,7526.39542,7744.72516,15645.56434,7918.43399,6321.22068,5837.41817,7282.64901,6994.13128,6111.43804,5577.22476,9191.78210,4850.34654,5081.20080,7921.11267,5338.05660,6718.68284,5912.90068,5555.14077,6016.77240,4155.22106,3649.17694
6757.62091,7139.29175,5695.18398,4114.96166,6254.93377,8453.91677,8706.80666,17809.86259,8924.86388,7078.49956,6517.02920,8227.39387,7861.22715,6829.54315,6191.99846,10296.78933,5420.37857,5687.12474,8856.91655,5976.78594,7573.75557,6626.68652,6221.21266,6787.85032,4845.23164,4147.43975
7561.75443,8013.24321,6332.05420,4498.35476,7025.23750,9468.59335,9759.63547,20232.80207,10030.96499,7903.94513,7253.03426,9274.29989,8812.25057,7606.49790,6860.48621,11485.81958,6044.70776,6355.04125,9860.38029,6678.95078,8524.46543,7409.94588,6952.06694,7630.45470,5616.40136,4697.79861
8447.27217,8978.82899,7031.57238,4908.78153,7876.83264,10585.11578,10918.62867,22954.98826,11253.33131,8809.13257,8055.57621,10439.33528,9860.99589,8453.20375,7590.92714,12776.48493,6731.65835,7093.87205,10946.25462,7454.07929,9584.77170,8273.53827,7757.72255,8560.29949,6487.78000,5310.00304
9417.17191,10035.46128,7796.99246,5344.47941,8810.30985,11800.81195,12180.57834,25981.40592,12596.21594,9791.79518,8923.19114,11730.30371,11008.51753,9367.32598,8382.86675,14160.31916,7483.52898,7911.85632,12100.43573,8304.99125,10764.69298,9222.01723,8643.32588,9591.17818,7461.57196,5985.55636
10481.61201,11194.35391,8635.87344,5808.49583,9835.76657,13127.85759,13558.18236,29352.01194,14074.48861,10861.34605,9863.73110,13162.99079,12266.87833,10357.08949,9243.38868,15649.20028,8307.95615,8818.28079,13332.12304,9240.69787,12079.09347,10265.50252,9618.34472,10729.39225,8549.43585,6719.72975
11643.62695,12466.15097,9552.67811,6303.19454,10964.56472,14577.34822,15061.82994,33105.25058,15692.61966,12026.78370,10877.19387,14750.83842,13640.57025,11426.78479,10176.73957,17234.18271,9213.12466,9821.75450,14638.60018,10271.29704,13547.06629,11410.05403,10692.13432,11982.69215,9759.91768,7538.16527
