138868.97199,144329.09862,122730.36311,97299.39690,125871.62395,171255.08280,174600.54410,327020.27144,175912.39745,145338.58392,136093.22299,161424.24567,157645.29156,141849.91345,136231.89034,207792.33590,115297.03898,119769.95026,183181.02277,123930.91395,151236.60547,136477.05993,129209.64920,129141.30124,68955.33333,74442.06667
124231.96546,129732.22226,108548.72837,84627.25860,113067.70809,153890.47385,157199.97244,298797.08727,158606.43180,130173.03744,121302.44279,145311.37781,141683.22852,126506.46868,120317.12968,187314.26837,102320.95371,106372.77425,164398.20979,110468.65231,135802.43445,121882.29203,115304.82774,115994.53962,65476.15622,68294.07293
110992.09204,116366.77849,95946.00231,73464.59659,101443.02784,137963.67180,141178.21675,272315.57325,142688.82544,116388.28735,107902.51243,130679.15255,127131.14383,112605.76862,106116.07680,168211.35770,90784.11160,94435.19667,146965.67809,98374.01909,121823.96959,108725.62508,102750.66750,104142.83139,62005.24134,62454.97986
99134.61736,104329.99396,84794.84524,63747.42788,90989.18000,123621.55710,126719.23929,248041.96981,128306.54711,104023.62090,95940.45645,117495.05917,114032.97938,100190.03494,93562.95055,150929.78614,80543.93503,83829.68467,131268.62729,87584.99877,109260.77158,96965.08903,91534.81665,93395.71030,58796.17497,57018.93489
88342.97925,93308.43402,74834.16372,55155.83752,81419.84812,110397.77250,113368.57219,225160.02295,115032.64168,92628.67101,85042.90931,105454.05933,101935.62649,88877.15888,82319.97894,134749.28368,71351.62739,74338.62815,116729.43508,77828.72925,97740.35897,86270.45654,81343.38980,83676.10817,55092.88486,51788.05110
78674.51468,83391.98729,66016.69018,47682.38403,72807.22633,98492.72799,101328.51888,204187.17123,103043.86353,82393.80648,75316.39938,94598.64960,91031.90107,78773.69088,72383.69229,120130.24740,63181.04491,65902.54788,103667.87783,69120.68489,87369.50858,76702.51985,72235.50476,74923.78571,51441.02718,46938.25705
69812.76676,74229.18835,58073.07466,41050.85386,64852.61811,87498.95830,90160.29596,184507.50408,91952.03409,72964.18251,66426.97095,84625.28381,80969.53228,69538.04407,63422.85148,106407.85398,55773.82473,58273.80562,91491.39974,61202.75224,77897.91765,67973.94030,63932.12441,67107.30768,48096.16927,42509.78010
61865.85480,65973.37151,51031.02447,35286.74354,57682.92617,77608.75006,80087.87529,166501.68232,81936.66375,64506.08710,58496.06286,75624.68734,71911.48527,61292.67195,55498.04951,94025.32029,49178.19138,51478.57179,80555.45027,54130.88803,69386.09052,60165.22141,56512.02336,60191.25204,44444.51768,38313.55337
54694.53817,58476.06114,44781.96471,30256.53650,51173.75620,68640.67072,70910.07230,149850.37677,72803.49558,56859.93843,51366.80968,67457.82478,63693.51814,53865.18670,48472.93464,82667.09909,43294.87734,45439.20732,70556.06683,47800.79222,61751.19673,53151.68596,49869.56656,53876.83731,41141.83662,34411.82744
48304.56035,51768.79185,39274.70838,25915.07120,45347.79802,60633.10847,62694.66109,134705.68963,64607.21787,50055.10390,45050.61756,60124.64536,56347.52509,47276.30922,42302.44772,72520.87537,38089.30465,40094.24171,61656.08238,42181.78317,54935.67697,46916.31238,43975.57113,48167.26188,37880.65840,30736.26477
42519.20548,45673.38523,34361.55993,22125.01547,40048.00309,53356.40492,55205.04286,120646.66749,57127.29873,43900.70761,39340.53876,53439.46301,49670.30740,41321.66387,36812.01910,63230.31986,33428.15219,35318.86644,53552.69599,37128.56353,48795.42890,41299.65540,38684.55396,42943.72167,34574.56133,27463.79417
37358.04857,40219.26910,30022.98354,18855.65789,35301.00889,46854.63970,48500.75752,107835.85735,50413.02540,38423.95408,34272.35919,47424.64627,43697.84192,36034.53159,31983.71597,54943.53406,29298.05274,31083.57161,46358.90659,32634.81586,43303.83887,36300.78235,33984.81005,38142.38588,31524.95298,24440.05257
32735.76057,35315.46549,26196.14414,16028.56482,31030.88996,41022.23587,42468.68592,96188.72292,44351.86104,33529.72833,29750.18447,41992.10267,38332.18515,31305.13165,27733.34391,47477.59290,25625.72688,27327.10178,39893.57781,28641.17597,38389.69031,31845.05422,29805.74973,33713.41061,28492.27350,21639.50625
28635.03163,30951.41212,22836.42780,13602.57506,27227.83531,35845.27951,37105.33395,85684.47388,38940.96368,29201.27449,25763.87488,37126.83685,33561.33458,27128.84201,24016.31271,40876.21172,22383.56703,24007.82829,34196.01793,25111.02791,34009.56469,27900.59789,26111.63436,29732.39052,25653.92878,19160.12492
24993.55497,27050.69277,19883.96191,11518.66140,23826.90655,31230.94634,32314.52877,76139.35402,34109.77176,25357.28248,22244.03769,32769.39251,29312.10551,23427.37991,20754.57878,35021.06994,19518.41738,21087.64295,29140.87995,21986.81006,30109.07455,24411.22695,22854.41652,26153.58963,22893.36171,16962.54893
21778.04830,23589.75494,17297.12098,9737.39680,20807.07395,27148.92701,28071.06955,67527.10793,29822.94697,21968.93695,19159.48223,28884.82922,25551.65996,20175.49042,17906.88022,29890.04762,16997.40066,18519.84540,24719.39111,19231.32721,26641.99165,21335.34838,19989.17225,22968.97309,20540.55838,14882.80228
18928.55776,20528.51953,15023.92201,8219.27374,18136.51613,23550.66230,24324.61778,59766.88907,26005.34716,18995.24206,16445.26499,25414.26600,22212.78705,17325.36940,15419.65939,25371.46860,14784.64183,16256.32151,20859.01027,16802.46398,23563.04314,18616.52782,17470.38839,20160.65478,18225.88573,13158.82232
16413.42067,17829.69178,13030.97905,6928.17112,15781.61544,20389.18097,21029.70225,52798.04596,22620.13114,16393.44162,14069.84564,22322.68583,19261.08693,14838.31601,13253.70205,21426.46310,12845.90332,14262.58645,17515.70794,14665.15702,20830.78296,16219.42707,15258.61982,17691.67298,16054.21026,11489.64119
