,r,g,b
0,0.0,0.0,0.0
1,0.16799499175283547,0.9282588799077076,0.20445787414621142
2,0.2736056596633776,0.2973369127103225,0.9870630625539425
3,0.9341867943481427,0.34003079707653544,0.16869161823322568
4,0.16930857484220033,0.954135562153994,0.9529915979545778
5,0.9731523510682749,0.912755482071762,0.1990414459878073
6,0.9930481478061781,0.34382227686774297,0.9645075636902682
7,0.32559791033565005,0.43480660935025545,0.3401225678734897
8,0.6664038644111852,0.6829301885623394,0.680818082353343
9,0.6708317970272297,0.19215901703475144,0.6364894815002153
10,0.20024043900954336,0.5942330274876251,0.7306065578669428
11,0.46549522062872867,0.9870250128416432,0.5551258117825186
12,0.7088641431624425,0.6313208991255711,0.2144987316376805
13,0.9427525377350098,0.6712678321075818,0.9968005360917519
14,0.5911242766777457,0.9851679146721164,0.9491551207619061
15,0.23024224490068354,0.1864729456612172,0.5998144850770062
16,0.9904369037427079,0.5860167078150682,0.5438996948799718
17,0.595661925349854,0.9709150618044556,0.1806268231202205
18,0.5335358412956702,0.19140879730200183,0.17668977047753234
19,0.8701245592860711,0.9860110920913187,0.6150353468276084
20,0.6529699027306493,0.4643439128941065,0.9831969502925346
21,0.6878369233423822,0.460349610529753,0.48641925303584355
22,0.9587396509768819,0.2939165122800324,0.545749388101595
23,0.39658391203696736,0.7354166873635922,0.39626382117040415
24,0.4490204136990458,0.7127107743556066,0.9354699423863352
25,0.6709763024402787,0.1905429965932096,0.9969920904375764
26,0.44079885796609986,0.4172214409202515,0.6860696811664876
27,0.18018901757008438,0.856456736569873,0.624240796886131
28,0.6808837457952412,0.8317270810560253,0.44401490108267994
29,0.18667997013858217,0.19466947341455243,0.32570165632562537
30,0.20534092832331444,0.6399694465911573,0.17678521761213314
31,0.9627317783430767,0.6947655564898653,0.27939187409473676
32,0.6366854261879514,0.40554793853306226,0.19161205747728982
33,0.8219072103612306,0.46897949752724233,0.7360003874847525
34,0.1716479231996534,0.3853893147418375,0.7741059569197706
35,0.1690531241144065,0.5898209712990998,0.9916229740965357
36,0.9994453407717473,0.8163866001941288,0.7652211169230096
37,0.7725883801549887,0.20601138116911402,0.3240477409622335
38,0.7074863708677758,0.781299281326315,0.9353716370011828
39,0.4565081974608265,0.21666499907709288,0.42600401960787593
40,0.6386471738661881,0.9069945456535715,0.7185829780223659
41,0.4688352821465338,0.2275667566478507,0.8199492063484362
42,0.22599194735692676,0.9909209603873287,0.4492569142861488
43,0.4244351340768519,0.6936915458174167,0.6417107305138591
44,0.8980972021524588,0.20640807338101258,0.8007078182142319
45,0.20410911194097248,0.46265378105410593,0.5532935829626473
46,0.3955359446987416,0.5071427820036589,0.9041839761570358
47,0.4607475056808088,0.6095496084141357,0.17972789092545585
48,0.9854548630337473,0.8361355822831217,0.4560401842297579
49,0.3620786383043641,0.9722528121952645,0.7799959582913573
50,0.4688245939454472,0.8038732666792857,0.1775590831905299
51,0.17993215182662065,0.6324713392526701,0.42388962924781837
52,0.8978772667732798,0.48594198489739987,0.34159785118361674
53,0.7984225677939699,0.9922876492991172,0.3256303538649748
54,0.17034006622851386,0.7730048706715197,0.8840249731044851
55,0.8585054159647371,0.91943446136105,0.8615065831490029
56,0.18013582085574406,0.36186421553522646,0.18841205027973676
57,0.7774506975624731,0.823839714808662,0.22282850036746346
58,0.5885575610012466,0.6680515189824956,0.45448432944821593
59,0.7115793079686161,0.31955763837287476,0.8160125899398384
60,0.44028772332811517,0.5401265516981467,0.5037258227970391
61,0.42120453836151855,0.3493506323261044,0.1723347428193399
62,0.6061188541870577,0.5238385656026306,0.7517901664860235
63,0.1788353849544169,0.18316632739540822,0.8163564796011823
64,0.9904474677656465,0.17088464865748107,0.2755053864359279
65,0.8695384864991448,0.6354778065522309,0.7510502637903065
66,0.8036561082783144,0.6601982038392298,0.4314950600171095
67,0.3865370827161548,0.9557785791146594,0.29666081212084977
68,0.75831840652252,0.6138337763594153,0.9449565182720645
69,0.9868985645937056,0.4939736028957842,0.8566625707367111
70,0.5886988459489334,0.9884128220064192,0.3920309017250723
71,0.22678455020356042,0.8419658440723821,0.37483744181838774
72,0.38807934973250935,0.8720069346006889,0.9831521300920358
73,0.27118529957762266,0.3056358287381033,0.461254995822221
74,0.5204298189041753,0.37479041185257694,0.4998730956693378
75,0.5230256970903095,0.792622255088265,0.7822340925271343
76,0.5626582858370768,0.5209624154457653,0.3173172727138223
77,0.4810785167290904,0.3527183175585114,0.9625055181913175
78,0.8680833465980841,0.7464051584456792,0.5992630801670059
79,0.4002388151966194,0.2844523381952444,0.6086005408050209
80,0.4942740402131827,0.8253488052576832,0.5720672684364017
81,0.8084340964231039,0.34772400727947955,0.4174987231878263
82,0.8264292446240556,0.41238261781573987,0.9930579226256372
83,0.7598151793424612,0.3268331739470543,0.607860232281038
84,0.28573219312007614,0.18629418000365555,0.1702487129750569
85,0.9951629307020253,0.43916727279652257,0.6232349736996081
86,0.9798499743851593,0.8509397052341017,0.9922560138041855
87,0.5978865818855333,0.29280520005933375,0.34201624976212214
88,0.330753828233677,0.79309452795551,0.7480504449180494
89,0.22360000081613934,0.7085228679390104,0.6022416090435214
90,0.8417505662464246,0.19110616250872983,0.5087033798574597
91,0.4358327215711355,0.17200314616980347,0.9916235386183252
92,0.853332112725364,0.25973719653004124,0.99863984655558
93,0.17044455630980557,0.44011007049331996,0.9708442982079756
94,0.28682143043634317,0.5097085596315802,0.18039753294038033
95,0.5715997025736685,0.5931516281698679,0.9691212141446955
96,0.9819992478794175,0.4770426608751342,0.16861761478565093
97,0.7357415784221718,0.2923623047506307,0.18136163619963264
98,0.9670608359019284,0.998080258161575,0.36711583567765915
99,0.28627561771619187,0.800763922724973,0.20575377192216254
100,0.7769039463910005,0.9948608765989646,0.999146818965976
101,0.5673885215116803,0.30668046543124805,0.7082346322478127
102,0.7022443580056869,0.9901155915774958,0.5382324324257445
103,0.42266936942114997,0.5629988071671576,0.7142839046770788
104,0.29644441296780893,0.9830459964018967,0.6192503058383089
105,0.6078012072228017,0.7465748607760158,0.2602279694632583
106,0.8435179487000346,0.49738271830160147,0.550488985848658
107,0.8687381287612411,0.7581564687614575,0.8629313390762344
108,0.7769274177467478,0.497744870585757,0.21638435118078655
109,0.381024236056586,0.5751027287493009,0.32207957812156507
110,0.7611028037867076,0.8080975786127156,0.7207449551485339
111,0.5193844925685789,0.859624917167221,0.33214773263401937
112,0.9764036055883296,0.16755643606886284,0.6364177034034646
113,0.17612277782870672,0.9056769613280962,0.7803967825680784
114,0.9816665943425766,0.9847813259953533,0.7573423820775315
115,0.9904540770345365,0.3240864587755848,0.7500165245914192
116,0.6856283626086664,0.16947752094046306,0.810362595687922
117,0.3389790153835657,0.3619376909735356,0.8339893544054058
118,0.5560171827422524,0.8345999821460589,0.9782769255344093
119,0.6467750920341586,0.16956410546951708,0.46857189441947483
120,0.28298304714472955,0.7067833689510946,0.989117627105115
121,0.9920366322047877,0.3617947986918358,0.3702043843526135
122,0.3693115998829025,0.8898066197097689,0.4762341292136446
123,0.9928406225794564,0.19696193805271744,0.9853253264890993
124,0.34813117716118636,0.6677718691761358,0.8106723894367551
125,0.21081114040144405,0.3236505608218982,0.6352015806958038
126,0.3306698288442133,0.2788588633506416,0.29400552224891513
127,0.7379143574471799,0.9960683760109511,0.7882245291247192
128,0.5068199759024788,0.17918641149981407,0.6060686417380903
129,0.16842041718421275,0.5012091263558207,0.30113365984579027
130,0.8607289916139842,0.1992054858510994,0.1698947164628859
131,0.0,0.0,0.0
132,0.16799499175283547,0.9282588799077076,0.20445787414621142
133,0.2736056596633776,0.2973369127103225,0.9870630625539425
134,0.9341867943481427,0.34003079707653544,0.16869161823322568
135,0.16930857484220033,0.954135562153994,0.9529915979545778
136,0.9731523510682749,0.912755482071762,0.1990414459878073
137,0.9930481478061781,0.34382227686774297,0.9645075636902682
138,0.32559791033565005,0.43480660935025545,0.3401225678734897
139,0.6664038644111852,0.6829301885623394,0.680818082353343
140,0.6708317970272297,0.19215901703475144,0.6364894815002153
141,0.20024043900954336,0.5942330274876251,0.7306065578669428
142,0.46549522062872867,0.9870250128416432,0.5551258117825186
143,0.7088641431624425,0.6313208991255711,0.2144987316376805
144,0.9427525377350098,0.6712678321075818,0.9968005360917519
