,sample,TLS_3mm,TLS_Max
0,1.0,1.3068003425218089,6.4316397374612535
1,3.0,1.2265184896706585,1.531283186081529
2,6.0,1.8183046260943199,1.966026270031226
3,8.0,0.6820141057097803,1.2282419691937292
4,9.0,0.9261341693093584,2.042256804915146
5,12.0,1.4400779330383493,2.650342288602233
6,13.0,1.7420278344944553,5.389859598123292
7,15.0,1.183577061489638,2.65513936314648
8,17.0,1.1841804069463195,6.554878599913839
9,18.0,1.1409939286918054,5.306815318630101
10,20.0,1.38746403043122,3.0510896657635858
11,24.0,0.6252606317045456,2.5595993389645524
12,25.0,1.072884398324026,5.50666832433171
