,sample,TLS_3mm,TLS_Max
0,1.0,0.6311715741589369,0.6739726388355665
1,3.0,0.31449324113728516,0.500255854789882
2,6.0,0.6068734805513467,0.6946883256654101
3,9.0,0.22009216516933955,0.3690260373724722
4,12.0,0.7241776088198804,0.8171023012161681
5,13.0,0.15006998848031863,0.31322837823946154
6,15.0,0.9079533276323553,0.8835832677731131
7,17.0,0.7085869969451327,0.5540390508138907
8,18.0,0.589240976716117,0.8057718504345857
9,20.0,0.6988103019800765,0.8231716544882002
10,24.0,0.6451934113539186,0.6091029333915157
