,sample,Rhe_100.00,Rhe_Loss_100.00,Rhe_0.10,Rhe_Loss_0.10,Rhe_Log,Rhe_Crossover,Rhe_SMCrossover,Rhe_V_deg_custom
0,1.0,3.2371030777246834,0.73614,4.63887222972747,1.59892,0.678551373979726,1.013070512732858,4.635826606184568,-0.0569932044737337
1,2.0,3.2445745316973453,0.6913,4.673732785402585,1.61192,0.72709923542312,0.8793104529330299,4.592751029361599,-0.0506351863055691
2,3.0,3.200848351227029,0.81924,4.550398859560316,1.61612,0.5461037114979135,1.3879095541761348,4.757187220949562,-0.0669044642212945
3,4.0,3.1256570429399035,0.93798,4.232107799727145,2.40133,0.7505618454518359,1.8586243302785803,4.902092313637063,-0.2288734957686757
4,5.0,3.184765200681847,0.68911,4.6265744244397125,1.58412,0.7088544452357386,0.8661824783066294,4.5288518035279655,-0.0546170017710453
5,6.0,3.32121683136254,0.70293,4.7283858376968215,1.67503,0.7906143600505828,0.9831636855640904,4.717685173462714,-0.0649753857572825
6,7.0,3.3284226372391124,0.69671,4.732307108786637,1.75533,0.8311076093348326,0.9483620724014178,4.712942663400829,-0.1312074360867781
7,8.0,3.582734012841569,0.60561,5.179464305823228,1.3068,0.7359854965893842,0.2562178681556353,4.6988637632995545,-0.029726802552287
8,9.0,3.3314600101149097,0.6959,4.787267395146769,1.57642,0.7409448850091707,0.8597227564162738,4.680136258518013,-0.0632449015237353
9,10.0,3.25823090042208,0.74296,4.62614635385865,1.76243,0.8009762970876597,1.1153084496683434,4.707922892560844,-0.1043791786449722
10,11.0,3.237313953678989,0.7796,4.546348538953486,2.06782,0.8181258954184987,1.2845035626470644,4.758379857920241,-0.2989609439911658
11,12.0,3.295451749224338,0.70229,4.802929804017834,1.3987,0.5764029302056475,0.6645124743609125,4.550446876207766,-0.0472243588932673
12,13.0,3.2891743668880733,0.72173,4.707228321402867,1.66673,0.761537171299846,0.969557306563166,4.679159511228417,-0.1134329863607168
13,14.0,3.254535831136992,0.7756,4.569815628821246,2.07661,0.82074886738042,1.2661106049064903,4.7683965085559725,-0.2881078555285252
14,15.0,3.2510093838685616,0.84145,4.526985324490369,1.81884,0.6452921573457644,1.471362545680991,4.843204267874367,-0.112676126660672
15,16.0,3.4020033021857023,0.68692,4.691849862797681,2.76164,1.161313611438798,1.122237775216882,4.873109654344564,-0.9492641101281876
16,17.0,3.16819742500731,0.79299,4.546727968116472,1.5232,0.5351710487345755,1.2039807851874849,4.638639351949652,0.0154576539241091
17,18.0,3.185868704795419,0.79859,4.640803822776139,1.27796,0.3619436907717901,1.1658527704070671,4.638872201974343,0.0683959606603978
18,19.0,3.348185713691588,0.69092,4.589636483512312,3.07399,1.1778683746176242,1.187877620730955,4.841435724353166,-1.2785536734040073
19,20.0,3.1968554971238112,0.78058,4.618829587455413,1.44491,0.5397760171341428,1.1386057641139369,4.646091845401954,-0.0076919161663834
20,21.0,3.2741400104824816,0.73671,4.8085918025898815,1.20887,0.4435099998063538,0.6790783501140633,4.520532858632418,0.0231860614095321
21,22.0,3.2352620214867622,0.76357,4.660617797710632,1.4381,0.5850996336549592,1.0991508312575742,4.670853699336739,0.0361036732841334
22,23.0,3.2110640472498737,0.76178,4.648472221983703,1.31662,0.5452448640080814,1.1213896146208993,4.654895441258015,0.1162206834808961
23,24.0,3.204012720388865,0.72951,4.703061288161121,1.38177,0.5567660881045722,0.893576666358034,4.577964689431166,0.0059489990015654
24,40.0,2.865728507627875,0.36490333333333336,4.624195438293188,1.4400066666666669,1.5198973433566028,0.18606008148663208,4.138174145987437,0.024635507198902933
25,41.0,2.92169338310878,0.5602566666666666,4.4933427098062815,1.4253600000000002,1.0585622392198513,0.6332957987153226,4.248881895263904,0.010743582135825665
