,sample,DSC_C_HalfPeak,DSC_M_HalfPeak,DSC_C_Onset,DSC_M_Onset,DSC_Crystallinity,DSC_fPP
0,1.0,0.6558594457525814,0.5803332647603352,0.714653507830938,0.7192575406032498,0.7565314671978982,0.0
1,2.0,0.49996981223208375,0.45820475896591933,0.6580133018665536,0.4795050270688332,0.6123338931723493,0.05226573512923593
2,3.0,0.380438326390147,0.46097510800246716,0.714181506114569,0.7315334317654505,0.7639856373701329,0.019791386635330737
3,4.0,0.45408440499909436,0.4994171295343885,0.7311020524923127,0.6159038177599675,0.5030612638473708,0.14278478061664907
4,5.0,0.5689186741532332,0.6049509703078912,0.5621111349495824,0.4584124305702033,0.54529105987914,0.046479632942680364
5,6.0,0.6546519350359227,0.7639717479256659,0.42337123650146813,0.492160584968009,0.5769877771734669,0.002824190720245883
6,7.0,0.6268791885527981,0.747651374888567,0.5435171279410717,0.5666877592631673,0.6550278836694692,0.03974026721689883
7,8.0,0.4529976453541033,0.48412535143660246,0.4677107916756064,0.20248892638683855,0.354553956645038,0.0
8,9.0,0.15939141459880374,0.23040526640608622,0.6200386183222484,0.0843703859945144,0.5639951743686985,0.05108412367648449
9,10.0,0.39980679828533566,0.4854968113556841,0.5335049703211046,0.28967165858117255,0.3543379230756905,0.18695947277162137
10,11.0,0.6316488558835961,0.6296372488514008,0.6580133018665526,0.5737186247627099,0.5456447383551848,0.08332573021238178
11,12.0,0.4951397693654527,0.46773640540355194,0.6967031395265691,0.4696618153694739,0.8358863456234861,0.023044525605429703
12,13.0,0.4644810722695164,0.536597407940753,0.5938639776871927,0.3408563594178447,0.4713813119382273,0.12577293225878589
13,14.0,0.42535772504980995,0.4304464102036592,0.6780519201888013,0.3914785910145552,0.6003664864569114,0.06863222854645903
14,15.0,0.5929481374147193,0.5254748679969806,0.9327755131230783,0.911340786050765,0.9802015091081818,0.0
15,16.0,0.4818571514822181,0.7338682027017743,0.12014589143960569,0.5160655276664575,0.5980912530456877,0.0
16,17.0,0.4782949948680801,0.27017760405952074,0.6321962382893515,0.33326302467833757,0.7647882465641714,0.0
17,18.0,0.7092465133128047,0.6430775560584242,0.720017163698778,0.5368065808901081,0.31695989900795873,0.5217140557244183
18,19.0,0.32735615528587797,0.521360488239728,0.4047772294929574,0.7283976657526553,0.9563462660832985,0.0
19,20.0,0.6558594457525818,0.6406089282040717,0.6164628477436899,0.45278773817057,0.4460416038518473,0.5233313082077402
20,21.0,0.6694439413149793,0.7160049372557056,0.40441965243510075,0.5474056106306703,0.24970629335503586,0.43122443100938346
21,22.0,0.6440862162651689,0.6821641637523133,0.6286204677107929,0.5420797300147665,0.3766413657669735,0.46723042155669503
22,23.0,0.3513856185473641,0.382637317424396,0.5835657584209403,0.2798284468818113,0.07152199177897658,0.9879517741412313
