,sample,DSC_C_HalfPeak,DSC_M_HalfPeak,DSC_C_Onset,DSC_M_Onset,DSC_Crystallinity
0,1.0,8.722000000000001,10.141999999999996,123.943,141.184,69.512426109215
1,2.0,7.861333333333334,9.548333333333341,123.67900000000002,140.04733333333334,67.29912018878268
2,3.0,7.201400000000001,9.5618,123.9408,141.24219999999997,69.62684106442912
3,4.0,7.608,9.74866666666667,124.01966666666668,140.694,65.62188144839077
4,5.0,8.241999999999999,10.261666666666665,123.23200000000001,139.94733333333332,66.27007167078108
5,6.0,8.715333333333328,11.034666666666666,122.58533333333334,140.10733333333334,66.75658839978911
6,7.0,8.561999999999998,10.955333333333328,123.14533333333334,140.4606666666667,67.95443538789563
7,8.0,7.602000000000004,9.674333333333331,122.79199999999999,138.734,63.3424249146758
8,9.0,5.9809999999999945,8.440999999999995,123.502,138.17399999999998,66.55716337545046
9,10.0,7.308333333333337,9.680999999999989,123.09866666666666,139.14733333333334,63.339108989416445
10,11.0,8.588333333333333,10.381666666666666,123.67899999999999,140.494,66.27550032428131
11,12.0,7.834666666666664,9.594666666666674,123.85933333333332,140.0006666666667,70.73045368992466
12,13.0,7.6654,9.929400000000006,123.38,139.39000000000001,65.13562205329792
13,14.0,7.4494,9.413399999999996,123.77239999999999,139.63000000000002,67.11543102261955
14,15.0,8.374666666666664,9.87533333333333,124.95966666666668,142.09466666666665,72.94556450511938
15,16.0,7.761333333333326,10.88833333333333,121.17199999999998,140.22066666666666,67.08050819112631
16,17.0,7.74166666666667,8.63433333333334,123.55866666666667,139.354,69.63916040955655
17,18.0,9.016749999999995,10.447000000000006,123.968,140.319,62.765389198898234
18,19.0,6.908333333333331,9.855333333333325,122.49866666666667,141.22733333333335,72.57940750853238
19,20.0,8.722000000000003,10.434999999999997,123.48533333333334,139.92066666666668,64.74667982380053
20,21.0,8.797,10.80149999999999,122.49700000000001,140.36925000000002,61.733105510577225
21,22.0,8.656999999999996,10.637,123.542,140.344,63.68144721589654
22,23.0,7.040999999999997,9.180999999999997,123.332,139.10066666666668,58.99813321807171
23,24.0,7.521750000000001,8.58125,123.998,139.569,68.50789453924901
24,25.0,5.000999999999998,8.15675000000001,122.40700000000001,140.794,74.9547440273038
25,26.0,6.3892,8.425800000000013,121.65600000000002,141.16199999999998,73.6048183617748
26,27.0,6.990999999999996,9.036999999999999,124.78299999999999,141.65425,75.25828003412951
27,28.0,5.587666666666664,8.775,123.85266666666666,140.99433333333332,72.68375809487245
28,40.0,8.795000000000002,9.701666666666668,122.98533333333334,140.85433333333333,64.93002872942493
29,41.0,8.454999999999993,8.981666666666664,123.74566666666668,140.374,63.246160995813085
30,101.0,8.882000000000005,9.722000000000008,123.472,141.814,75.32650034129719
31,102.0,9.022000000000006,10.261999999999986,123.192,141.174,70.686493805741
32,103.0,10.701999999999998,12.761999999999986,123.272,144.895,70.38345358361772
33,104.0,7.001000000000005,8.262,123.672,140.554,69.62852196909948
34,109.0,9.342,11.481999999999983,122.872,141.034,64.41818395904448
35,110.0,8.011999999999993,9.611500000000007,122.74199999999999,139.974,65.44081180873226
36,111.0,7.601666666666664,9.181333333333328,123.11866666666667,140.274,65.93016054752394
37,112.0,9.042000000000002,10.195333333333323,123.23866666666667,141.48766666666666,71.7812215711845
38,113.0,6.887999999999991,8.521,123.072,139.20733333333337,66.89563093924981
39,114.0,8.755333333333331,9.795333333333332,123.23200000000001,141.04733333333334,69.4219689964937
40,115.0,8.815333333333333,10.02866666666666,124.29966666666667,142.84833333333333,77.16832320819115
41,116.0,8.440999999999995,10.821999999999996,121.00200000000001,141.4045,69.30380631399312
42,117.0,7.701999999999998,9.010999999999996,122.632,139.88400000000001,72.04302696245762
43,118.0,9.841999999999999,10.972000000000008,123.102,141.324,64.17249665454862
44,119.0,9.012,11.232000000000014,121.922,143.635,74.33477559726973
45,120.0,9.208666666666664,10.728666666666664,122.812,140.96066666666664,65.4206503441073
46,121.0,8.14866666666667,10.135000000000005,122.11200000000001,140.34733333333335,65.95579809909405
47,122.0,9.095333333333329,10.555333333333332,123.00533333333333,141.22066666666666,64.88579058257697
48,123.0,9.101999999999997,10.681999999999999,122.22200000000001,141.279,56.24414727170479
49,124.0,8.156750000000002,9.781999999999996,123.372,141.029,70.43104530716708
