,DSC_HFC_120,DSC_TC_120,DSC_HFC_80,DSC_TC_Max,DSC_HFC_Max,DSC_TM_Max,DSC_HFM_Max,DSC_HFM_160,DSC_C_HalfPeak,DSC_M_HalfPeak,DSC_HFC_102,DSC_C_Onset,DSC_M_Onset,DSC_Crystallinity,DSC_fPP,DSC_Melt_Temp
49,0.25758055652281836,121.792,0.0029995000833194425,116.891,3.209,132.833,-2.333,8.331944675887511e-05,7.8219999999999885,11.501999999999995,0.008910725440479196,121.752,141.294,68.17632901023902,0.0,135.653
50,0.2411264789201798,120.512,0.0011664722546242295,114.971,3.118,131.653,-2.384,8.331944675887511e-05,7.620999999999995,10.661000000000016,0.011992004331112194,120.612,139.534,66.41942047781572,0.0,134.553
51,0.23579403432761187,121.052,0.0018330278286952176,115.551,3.071,131.833,-2.398,0.00016655561570989486,7.840999999999994,10.501999999999981,0.010409725981868224,121.152,139.834,66.6457750853242,0.0,134.953
52,0.2155229667285997,123.432,0.002166305615730707,117.451,3.143,131.773,-2.893,0.00016663889351774705,8.462000000000003,9.481000000000009,0.005746168741991255,123.532,139.974,68.9914126279862,0.0,134.833
53,0.26357426186090593,123.352,0.0014997500416597189,117.911,3.685,131.073,-3.304,8.331944675887625e-05,6.9410000000000025,7.801000000000002,0.003414390122052778,123.532,138.414,69.537965529011,0.0,133.513
54,0.257994648734622,123.532,0.002332944509248454,118.552,3.437,131.393,-3.15,0.00016663889351774705,7.822000000000003,8.62100000000001,0.0045802794320220636,123.612,139.674,70.38810307167243,0.0,134.053
55,0.16372417024282496,124.073,0.0033322225924691724,118.011,2.423,132.033,-2.166,0.0061656390601566415,9.982,11.402000000000001,3.4677130954059028e-18,123.933,141.134,62.9264409799381,6.056812499999982,134.153
56,0.190456346564261,124.173,0.003998667110963005,118.552,2.778,132.133,-2.494,0.004915847358773557,8.280999999999992,9.78200000000001,0.00033311123141978327,124.253,139.974,63.049541607616334,4.843119230769229,135.033
57,0.178131231001729,123.732,0.0031661389768371994,118.252,2.595,131.893,-2.285,0.005165805699050159,8.961999999999989,10.342000000000013,0.00024983342356483786,123.773,140.234,62.05625431952511,5.060997115384633,134.073
58,0.19070617998782766,123.993,0.003666055657390433,118.672,2.636,131.573,-2.411,0.0041659723379436735,8.841999999999999,10.262,0.001998667388518701,123.913,139.934,63.02931988851339,3.766863461538467,133.873
59,0.2781565173992719,122.172,0.005832361273121142,116.871,3.579,133.473,-2.805,8.331944675887511e-05,7.60199999999999,10.201999999999998,0.007661558322655083,122.412,141.594,72.38641740614307,0.0,137.194
60,0.37866419231644205,122.992,0.005665722379603395,118.992,4.611,132.933,-3.221,8.331944675887511e-05,5.161000000000001,8.621999999999986,0.0039140569691824886,122.672,140.194,72.46989522184322,0.0,135.833
61,0.2716213964339281,122.352,0.005999000166638889,117.011,3.437,133.293,-2.738,0.0001666388935177475,7.962000000000003,10.74199999999999,0.007911391746219852,122.412,141.894,72.88190989761087,0.0,137.334
62,0.19103929121924562,123.592,0.0033322225924691724,117.931,2.68,131.533,-2.433,0.004665889018496914,9.042000000000002,10.542000000000002,0.001082611502114295,123.632,139.994,65.33041212774118,4.462165384615383,134.353
63,0.1980346270790611,123.432,0.0031661389768371916,117.951,2.775,131.373,-2.429,0.005415764039326797,8.102000000000004,9.861000000000004,-0.0012491671178241877,123.472,139.314,63.0943479826917,5.494205769230765,134.153
64,0.18321117728088068,123.252,0.003165611462845721,117.631,2.71,132.333,-2.339,0.005165805699050181,9.022000000000006,10.901999999999987,0.0009993336942593445,123.352,140.454,65.81527936096873,4.885338461538477,134.833
65,0.18446925512414586,122.592,0.0031656114628457136,116.751,2.657,132.413,-2.2,0.004415930678220315,8.762,11.001999999999981,0.0023317786199384795,122.632,140.394,62.36686379311137,4.388071153846178,134.273
66,0.2072987835360776,122.572,0.0024995834027662037,117.231,2.799,131.573,-2.332,0.004499250124979188,7.862000000000009,9.880999999999986,0.0007495002706945136,122.612,139.594,61.27713991319489,4.493203846153845,134.233
67,0.13603612715663696,122.172,0.002332944509248459,115.031,2.324,134.713,-2.026,0.004665889018496933,10.622,12.182000000000002,0.008744169824769301,122.072,142.275,60.24462289921445,2.4513980769230845,135.513
68,0.19963339443426129,122.492,0.0014997500416597234,116.711,2.859,131.573,-2.34,0.0045825695717380405,7.941999999999993,10.140999999999991,-0.00016655561570989367,122.672,139.214,63.04379543678821,4.973397115384621,134.513
69,0.1831278994730275,123.492,0.0033322225924691724,117.471,2.731,131.833,-2.247,0.005415764039326773,8.861999999999995,11.141999999999996,0.0014157227335340802,123.572,140.494,64.6259644166316,5.254055769230767,135.453
70,0.19745168242407646,123.732,0.003666055657390433,117.971,2.748,131.713,-2.39,0.004665889018496938,8.60199999999999,10.442000000000007,0.001082611502114295,123.672,140.354,64.34704301199456,4.4656355769230744,134.853
71,0.18829112356003244,123.432,0.003332777870354939,118.031,2.583,131.833,-2.289,0.004249291784702564,8.902000000000001,10.682000000000002,0.002165223004228592,123.412,140.654,61.87233147554066,3.893221153846168,134.153
72,0.20594601882528285,123.572,0.003998667110963007,117.931,2.808,131.613,-2.41,0.004249291784702566,8.262,10.281999999999996,0.0019153895806637543,123.512,139.874,63.88044995941937,4.0546673076923225,134.773
73,0.21360757714793593,123.372,0.0031656114628457136,118.872,2.835,131.333,-2.313,0.008581903016164004,7.260999999999996,9.361000000000004,-0.0006665555740709914,123.252,139.454,57.900333557326555,9.13001826923076,133.073
74,0.22993002748750752,123.572,0.002832389203598796,119.292,3.016,131.173,-2.438,0.008915180803199498,6.86099999999999,9.001000000000005,-0.0005832361273121131,123.412,138.934,59.3440127062279,9.4533548076923,133.053
75,0.21668885603857097,123.352,0.0031656114628457136,118.712,2.96,131.273,-2.403,0.00916513914347608,7.001000000000005,9.180999999999983,-8.624853760625176e-05,123.332,138.914,59.75005339066066,9.435002884615376,133.653
76,0.22976347187179544,123.933,0.002332944509248454,118.692,3.158,131.633,-2.875,8.331944675887392e-05,8.322000000000003,9.501000000000005,0.004663557239876968,124.013,140.194,68.97266928327603,0.0,134.693
77,0.3412724565895678,124.313,0.0028328611898016955,120.132,4.29,131.233,-3.691,8.331944675887663e-05,5.361000000000004,6.440999999999988,0.0027481676592132362,124.313,137.914,68.30892593856652,0.0,132.913
