,sample,DSC_Crystallinity,DSC_fPP
0,1.0,0.001977289771424029,0.0
1,2.0,0.05586763470436488,0.004453592907814481
2,3.0,0.0268959524681162,0.008478027220169944
3,4.0,0.026959836258744176,0.001333287148169184
4,5.0,0.0770331204802017,0.009432489755560537
5,6.0,0.018099615093142486,0.0028241907202458836
6,7.0,0.019988424913388213,0.008006435929339015
7,8.0,0.027168350505764122,0.0
8,9.0,0.021254862980810918,0.0031927005156592546
9,10.0,0.002439934210446446,0.015033567657175652
10,11.0,0.020075673976794026,0.011355165510684098
11,12.0,0.018748820169742192,0.012771116583420271
12,13.0,0.0070529262064983455,0.00890078673579187
13,14.0,0.025137192504409343,0.008752007198092545
14,15.0,0.010048285865194292,0.0
15,16.0,0.03594948695911347,0.0
16,17.0,0.026473973663967254,0.0
17,18.0,0.015499887478539337,0.04968483807390129
18,19.0,0.009978347619460844,0.0
19,20.0,0.054591977188884214,0.03168479511158787
20,21.0,0.040086606881804016,0.05886634592527928
21,22.0,0.04054541673918161,0.03215303842303954
22,23.0,0.03656727019282455,0.01109173557535336
