,sample,DSC_Crystallinity,DSC_fPP
0,1.0,0.7565314671978982,0.0
1,2.0,0.6123338931723493,0.05226573512923593
2,3.0,0.7639856373701329,0.019791386635330737
3,4.0,0.5030612638473708,0.14278478061664907
4,5.0,0.54529105987914,0.046479632942680364
5,6.0,0.5769877771734669,0.002824190720245883
6,7.0,0.6550278836694692,0.03974026721689883
7,8.0,0.354553956645038,0.0
8,9.0,0.5639951743686985,0.05108412367648449
9,10.0,0.3543379230756905,0.18695947277162137
10,11.0,0.5456447383551848,0.08332573021238178
11,12.0,0.8358863456234861,0.023044525605429703
12,13.0,0.4713813119382273,0.12577293225878589
13,14.0,0.6003664864569114,0.06863222854645903
14,15.0,0.9802015091081818,0.0
15,16.0,0.5980912530456877,0.0
16,17.0,0.7647882465641714,0.0
17,18.0,0.31695989900795873,0.5217140557244183
18,19.0,0.9563462660832985,0.0
19,20.0,0.4460416038518473,0.5233313082077402
20,21.0,0.24970629335503586,0.43122443100938346
21,22.0,0.3766413657669735,0.46723042155669503
22,23.0,0.07152199177897658,0.9879517741412313
