,sample,DSC_C_HalfPeak,DSC_M_HalfPeak,DSC_C_Onset,DSC_M_Onset,DSC_Crystallinity
0,16.0,0.01683346346358648,0.0613015989577102,0.06973979086275925,0.11662933637643638,0.05500668064910879
1,17.0,0.10545522116802483,0.09583482422540418,0.00564852079361707,0.10253424711734464,0.04050810006003699
2,19.0,0.21043429884379633,0.1256795667766616,0.018357692579255146,0.1123952917507104,0.015267972573119949
3,24.0,0.17241123938626776,0.14188654058293054,0.02405030195615508,0.11864717149901223,0.018307998172275144
4,25.0,0.06172440995247029,0.07213887021499983,0.017753711728701556,0.036155974139353765,0.07210399644384033
5,26.0,0.1008407169773933,0.07523940069301233,0.025326388778030336,0.06570301106679675,0.026888813098108016
6,27.0,0.14283373697878116,0.14067639757264136,0.05613550578352301,0.07109871315661219,0.06772127608866721
7,28.0,0.1755922169902649,0.1664975405980267,0.02338994504949731,0.1451322598451451,0.043477102943934545
