,sample,DSC_Crystallinity,DSC_fPP
0,1.0,0.030349658703187288,0.0
1,2.0,0.8575190497297291,0.04210139392659235
2,3.0,0.41282921183403914,0.08014579938153975
3,4.0,0.4138097718259258,0.012604036472179525
4,5.0,1.1823906385415188,0.08916867237923659
5,6.0,0.27781317067165523,0.0266980769230764
6,7.0,0.30680473995408913,0.07568767958509735
7,8.0,0.41701028210179203,0.0
8,9.0,0.32624345028905566,0.030181730769229115
9,10.0,0.037450843885138134,0.14211764908872898
10,11.0,0.30814393633026427,0.1073444084725673
11,12.0,0.28777789753563277,0.12072989635347486
12,13.0,0.10825621328725837,0.08414229508104194
13,14.0,0.38583379345340796,0.08273582932304578
14,15.0,0.15423234923279966,0.0
15,16.0,0.5517930024884652,0.0
16,17.0,0.4063522083765862,0.0
17,18.0,0.23790963859216932,0.46968840287532815
18,19.0,0.15315885868073906,0.0
19,20.0,0.8379388289767983,0.29952761019887464
20,21.0,0.6152941541569884,0.5564844542640169
21,22.0,0.622336481883713,0.303954080358356
22,23.0,0.5612754317037741,0.10485411182691827
23,24.0,0.1836545154483287,0.0
24,25.0,0.7233027010476206,0.0
25,26.0,0.2697319441506162,0.0
26,27.0,0.679337960850423,0.0
27,28.0,0.43613540918729155,0.28461540917846434
28,40.0,1.3376380375469061,0.1561423076923074
29,41.0,0.41739180888585176,0.45290137281691195
30,101.0,0.0,0.0
31,102.0,0.0,0.0
32,103.0,0.0,0.0
33,104.0,0.0,0.0
34,109.0,0.0,0.0
35,110.0,0.1508899698298407,0.029715865384616454
36,111.0,1.426938373890298,0.14326090761832877
37,112.0,1.6656011122089576,0.032467307692306935
38,113.0,0.357349515326984,0.007309109933349491
39,114.0,0.5566653118247505,0.15410875514863343
40,115.0,0.4861290450779926,0.0
41,116.0,0.8019435153583885,0.0
42,117.0,0.18019351535843953,0.0
43,118.0,0.5426501915141735,0.4829552884615404
44,119.0,0.46197286689424993,0.0
45,120.0,1.6965446007470948,0.14625283841060296
46,121.0,0.35690418032717247,0.17395831742668322
47,122.0,0.6947938292134834,0.7595801867447687
48,123.0,1.7291912293497183,0.5685754142761322
49,124.0,0.7188349962631959,0.0
