,sample,ESCR_90%Failure,ESCR_75%Failure,ESCR_50%Failure
0,1.0,0.0,0.0,0.0
1,3.0,0.0,0.0,0.0
2,6.0,0.0,0.0,0.0
3,8.0,0.0,0.0,0.0
4,9.0,0.0,0.0,0.0
5,12.0,0.0,0.0,0.0
6,13.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0
8,17.0,0.0,0.0,0.0
9,18.0,0.0,0.0,0.0
10,20.0,0.0,0.0,0.0
11,24.0,0.0,0.0,0.0
12,25.0,0.0,0.0,0.0
