1073.0000,21.4450,0.6872,210.7964,5.7045,0.5017,0.6608
1074.0000,21.4650,0.7036,217.5482,5.8872,0.5175,0.6766
1075.0000,21.4850,0.7202,224.2118,6.0676,0.5334,0.6925
1076.0000,21.5050,0.7368,230.7579,6.2447,0.5494,0.7085
1077.0000,21.5250,0.7531,237.2039,6.4192,0.5650,0.7241
1078.0000,21.5450,0.7697,243.5351,6.5905,0.5810,0.7401
1079.0000,21.5650,0.7863,249.8123,6.7604,0.5969,0.7560
1080.0000,21.5850,0.8029,256.0364,6.9288,0.6129,0.7720
1081.0000,21.6050,0.8194,262.1578,7.0945,0.6288,0.7879
1082.0000,21.6250,0.8358,268.1656,7.2570,0.6445,0.8036
1083.0000,21.6450,0.8526,274.0684,7.4168,0.6607,0.8198
1084.0000,21.6650,0.8693,279.9572,7.5761,0.6768,0.8359
1085.0000,21.6850,0.8859,285.8197,7.7348,0.6927,0.8518
1086.0000,21.7050,0.9024,291.5942,7.8911,0.7086,0.8677
1087.0000,21.7250,0.9189,297.2364,8.0437,0.7245,0.8836
1088.0000,21.7450,0.9356,302.8209,8.1949,0.7405,0.8996
1089.0000,21.7650,0.9524,308.3439,8.3443,0.7567,0.9158
1090.0000,21.7850,0.9688,313.7895,8.4917,0.7724,0.9315
1091.0000,21.8050,0.9853,319.0822,8.6349,0.7883,0.9474
1092.0000,21.8250,1.0020,324.2924,8.7759,0.8044,0.9635
1093.0000,21.8450,1.0189,329.5625,8.9185,0.8206,0.9797
1094.0000,21.8650,1.0357,334.8312,9.0611,0.8367,0.9958
1095.0000,21.8850,1.0521,339.9128,9.1986,0.8525,1.0116
1096.0000,21.9050,1.0686,344.8925,9.3334,0.8684,1.0275
1097.0000,21.9250,1.0854,349.7988,9.4662,0.8845,1.0436
1098.0000,21.9450,1.1020,354.6779,9.5982,0.9005,1.0596
1099.0000,21.9650,1.1187,359.5180,9.7292,0.9166,1.0757
1100.0000,21.9850,1.1353,364.3088,9.8588,0.9325,1.0916
1101.0000,22.0050,1.1519,368.9856,9.9854,0.9485,1.1076
1102.0000,22.0250,1.1689,373.5805,10.1097,0.9648,1.1239
1103.0000,22.0450,1.1854,378.1682,10.2339,0.9807,1.1398
1104.0000,22.0650,1.2020,382.7208,10.3571,0.9967,1.1558
1105.0000,22.0850,1.2186,387.1439,10.4768,1.0127,1.1718
1106.0000,22.1050,1.2353,391.5198,10.5952,1.0287,1.1878
