,sample,SHM
0,11.0,0.003874215802872739
1,14.0,0.005412104035880318
2,10.0,0.027032976654140152
3,4.0,0.022571790160154218
4,13.0,0.032030489753648285
5,21.0,0.021174101029567283
6,23.0,0.050253030548114475
7,18.0,0.011552728127403286
8,22.0,0.02708199511333814
9,20.0,0.056238736532119075
10,2.0,0.03675874056643333
11,3.0,0.01373097443756813
12,17.0,0.0029770648154212585
13,16.0,0.04548053047324751
14,19.0,0.008928854026385722
15,1.0,0.006526582957526057
16,15.0,0.006288069180933606
17,12.0,0.02961894772937491
18,6.0,0.037871977805973386
19,5.0,0.006340163074921339
20,7.0,0.0032226372469912625
21,9.0,0.01845379866144955
22,8.0,0.06663066006852322
23,24.0,0.041816134976697734
