,sample,TT_SAB,TT_UTS,TT_YM,TT_SHM
0,1.0,0.03594286970264949,0.018695247813855474,0.021014409053055468,0.0
1,3.0,0.04954647117472686,0.011945829989125955,0.021094714165146015,0.0
2,6.0,0.03210050400633511,0.008033457253882714,0.02615240015476275,0.0
3,9.0,0.026864437115110096,0.005673743197188467,0.044199277170466525,0.0
4,12.0,0.02855452599411145,0.022633404273611876,0.04802555120004717,0.0
5,13.0,0.0013685450410553268,0.01431382168829228,0.008044793262290512,0.0
6,15.0,0.08841397811183804,0.026657787636421366,0.06196735602145714,0.0
7,17.0,0.08311668260598867,0.013447503215927852,0.019226173249211054,0.0
8,18.0,0.0012997076204525001,0.060327265811320085,0.029457094733558235,0.0
9,20.0,0.0014173402169125474,0.04308265769746749,0.02892815466315799,0.0
10,24.0,0.12550748182593593,0.014618423393759288,0.04099219668726387,0.0
