,sample,TT_SAB,TT_UTS,TT_YM
0,1.0,8.891209244066225,0.20966159565804499,0.047898397706130656
1,2.0,0.9490857379604858,0.12192343089004666,0.06413352621775008
2,3.0,12.25634030237489,0.13396889957905084,0.04808143812316245
3,4.0,0.6967137962128591,0.33951559119820485,0.08990498733145694
4,5.0,7.213021531358182,0.21423100666730516,0.09150797762313803
5,6.0,7.940720936349519,0.09009281306511849,0.059609483208406686
6,7.0,20.06798231153432,0.155684278891215,0.05758610430080017
7,8.0,0.406349473483109,0.8467015173011085,0.048198377268869795
8,9.0,6.645471927827052,0.06362932783350954,0.10074394911079769
9,10.0,0.5572532927473627,0.5489364893440166,0.05385476334187312
10,11.0,0.9804810284114781,0.5282519210649815,0.07293247399325467
11,12.0,7.063550227878947,0.2538268389072752,0.10946522196404719
12,13.0,0.33853780793288074,0.16052521608769144,0.018336594960530868
13,14.0,0.6982704406598632,0.3874842598514851,0.061709249647474776
14,15.0,21.871018813912244,0.2989590910061746,0.14124294697126305
15,16.0,27.035113049698904,0.2628003890594454,0.1134806853509314
16,17.0,20.560623646252978,0.15080971431566598,0.04382245012613301
17,18.0,0.3215094538959072,0.6765521878942113,0.06714191368659919
18,19.0,5.093214285714287,0.27938998808507215,0.10811888718117499
19,20.0,0.35060829986178704,0.4831590812797886,0.06593629416188285
20,21.0,2.529713193027936,0.09705386680202137,0.05322950753124069
21,22.0,0.3272044431238672,0.9150798637277512,0.13639428555017666
22,23.0,0.09384694241156709,0.27654138135186934,0.07153794574779211
23,24.0,31.046861083770867,0.16394123283399234,0.09343401162589493
