,sample,TGA_Residue,TGA_Temp_160-180,TGA_Temp_300-320,TGA_Temp_380-400,TGA_Temp_460-480,TGA_Temp_480-500
0,1.0,0.0014941591958706885,0.023628874918492332,0.005437696254610657,0.23526786820826565,0.11812226982863434,0.3012184423152515
1,2.0,0.005026420025854534,0.04951688580469626,0.013487649300432045,0.21034571015134404,0.15296061023402355,0.252168237104459
2,3.0,0.010262734087843672,0.06476197984131979,0.004166876246805012,0.06788198588662224,0.10455727289621058,0.17079784025218392
3,4.0,0.001927356393533721,0.0476993535849092,0.04383050416725713,0.06314024163043179,0.04824458582831477,0.048320474161703604
4,5.0,0.012360771529475676,0.16193366572055312,0.00022976181361133996,0.10059002900400797,0.015692557628222248,0.07784218258513545
5,6.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17.0,0.005297473512632435,0.05831346195707941,0.022669832274014045,0.036442967995300446,0.0024309680252226906,0.14887142213735086
17,18.0,0.008557457212713919,0.22263169303566302,0.01194761430577551,0.00916032426768909,0.022619018384242153,0.09528229099789126
18,19.0,0.006384134745992936,0.008562757427223025,0.015815271500915426,0.06096140020374953,0.09149463720660472,0.08946180712752669
19,20.0,0.005161640858462352,0.0424886191219429,0.011564677954245482,0.042120137838036184,0.12642888573570585,0.2519113320335658
20,21.0,0.022955718554740573,0.06568393669877182,0.0037910699236680108,0.08597565510504131,0.3975614405798926,0.28976414801313877
21,22.0,0.012632436837815812,0.02427921092652091,0.01585356513739067,0.09767707067869387,0.10141371716334423,0.22435231328740152
22,23.0,0.0019016571583808648,0.06286581400454183,0.03339205024032221,0.04102932791128521,0.059655463496106544,0.15295450520242204
