,TGA_Residue,TGA_Temp_40-60,TGA_Temp_60-80,TGA_Temp_80-100,TGA_Temp_100-120,TGA_Temp_120-140,TGA_Temp_140-160,TGA_Temp_160-180,TGA_Temp_180-200,TGA_Temp_200-220,TGA_Temp_220-240,TGA_Temp_240-260,TGA_Temp_260-280,TGA_Temp_280-300,TGA_Temp_300-320,TGA_Temp_320-340,TGA_Temp_340-360,TGA_Temp_360-380,TGA_Temp_380-400,TGA_Temp_400-420,TGA_Temp_420-440,TGA_Temp_440-460,TGA_Temp_460-480,TGA_Temp_480-500,TGA_Temp_500-520,TGA_Temp_520-540,TGA_Temp_540-560,TGA_Temp_560-580,TGA_Temp_580-600
0,0.089,-0.0011657917856276205,-0.0008078557142849435,-0.00041592571432275843,-8.448491070469285e-05,0.00010598107137552023,0.0013762541965112692,0.0013727548213896192,0.0017326905356664418,0.001994643750067485,0.0022455989286324996,0.002583038660491895,0.0030529547323715264,0.0033968933036580174,0.003673843839002515,0.00410376705371673,0.005440028393242128,0.00956329196360605,0.024708586964597715,0.07311844080746448,0.2767135780295442,1.2739629658832867,3.050067747900131,0.2593386811881947,0.00015547223212943634,0.00013347616071777394,0.000154472410692546,0.000217961071412778,0.0002999464286080223
1,0.1,-0.0011347973213390252,-0.0010318157142489865,-0.0005579003572015029,-0.0001319764285502252,-5.599000003088457e-05,0.0013452597322027452,0.0012637742856781665,0.0016557042856556376,0.0019541509821907987,0.002170612321440591,0.0025195499997916083,0.002977468214513672,0.0033284055357881994,0.00360285651758315,0.003986787946465174,0.0046301730360283925,0.006388359017393372,0.015220281607363923,0.03960992553734228,0.14137325026485711,0.7187706251180163,2.8431572028842056,1.2047463281731112,0.0004274236606294802,-0.00010048205360527929,5.4490267843197594e-05,3.0994464288695924e-05,-0.0
2,1.692,-0.0011068023213659291,-0.0007583645535511518,-0.00034443848216224765,9.798250000556935e-05,0.00043992142849310115,0.0018261738394181651,0.002133618928545697,0.0026480270535148864,0.0030164612500574372,0.0033559006250753792,0.0037073378568410202,0.004139760625259671,0.004536189821540628,0.004867630624638419,0.005432029821522053,0.0067612924112292905,0.01161192607062576,0.030393571607563844,0.09889383723741715,0.3677413201704872,1.6444093029151767,2.647910074558493,0.0734153877449564,0.00012397785713479028,0.00019096589286164814,0.00024095696427632634,0.00076086410707594,0.0005499017858013682
3,1.691,-0.0011947866070476933,-0.0008848419642705789,-0.0003734333036219937,5.199071428311881e-05,0.00019246562496467494,0.001717693214362725,0.002044134910691238,0.0026295303570549144,0.0031299409822073076,0.0034348865179499844,0.003703838481839356,0.00409526857170038,0.004478700089391816,0.00489912499963303,0.00522756633939482,0.005832458303985289,0.007563149195848243,0.016382074107374082,0.04078521562696787,0.16539995901454876,0.6964746072696392,2.516564533413595,1.43218370710136,0.0012957685712089923,0.00010598107144070028,0.0001954650892951653,0.00023845741069159716,0.0003619353571654192
4,1.747,-0.001457239732019559,-0.000998321696420684,-0.0005129083929262992,-2.449562498133556e-05,0.0004219246427940343,0.0016527048215148837,0.0017551865178287824,0.0021836099999603996,0.0026040349107664747,0.003013461785796804,0.003403392142590411,0.003907302143199504,0.004315229285827022,0.004620674731805721,0.00505259758937357,0.0060454202683035965,0.008967898302948472,0.019556507143155807,0.04913972348466936,0.22835021588913335,1.0081344437661095,2.967707957675744,0.5955581312387721,0.00017746830353109998,0.00011198000002705823,7.69862499957958e-05,0.0002899482142491151,0.0006338867857604265
5,1.82,-0.0011952865177634997,-0.0008713443749851376,-0.000493911785775378,-0.00010698089284736749,-2.299589289870123e-05,0.0010523120536378348,0.0008773433035462891,0.00110580249994919,0.0013057667857279025,0.0014622388393142093,0.0017166933927061782,0.001951651428685816,0.0022990893750590618,0.0026860202676467684,0.0032754150000679576,0.004265238214562294,0.007184216874520584,0.018759149553790763,0.05993779491386847,0.28010597213735844,1.2737744995459241,2.995383014776404,0.25507744225950985,-1.2497767848673552e-05,3.849312499290468e-05,0.0002079628571638277,0.0004134261606829533,0.0002499553571733507
6,1.698,-0.0018781645534318209,-0.0014907337499831972,-0.0007458667858124953,-0.0005788966070962683,-0.00031644348217449095,0.0015542224107685599,0.0013192643749684596,0.0015442241963795078,0.0016012140179021686,0.0016502052678851874,0.001631708571310208,0.0016732011608386064,0.002153115446497472,0.002595536428365574,0.003074950803628163,0.003879307143116611,0.00610091035671896,0.014452918660945691,0.04021481750180271,0.1652984771399214,0.7317408086022733,2.763825871724953,1.177594677547187,0.00033643991064717074,-6.798785713875972e-05,-6.398857145616827e-05,-2.599535714922913e-05,9.998214286935185e-05
7,1.718,-0.0016881984820170481,-0.0012227816071157269,-0.0007213711608010922,-0.00026895196424953424,-5.599000003579043e-05,0.0011767898214885548,0.0008653454463887856,0.0010888055357070397,0.0013127655357408944,0.0014592393750185255,0.0016162113391708765,0.0019171575894356984,0.0022640956250275643,0.0026635242854843354,0.003214925803618265,0.004013783125316255,0.0063123725888294315,0.014886841160912451,0.04352572616293773,0.19113836204970197,0.9485830798335485,3.067378656165141,0.6252228330175632,0.00012747723210642807,0.0001254775892926234,0.0002489555357114707,0.0006393858035208805,0.0007818603572406427
8,3.741,-0.0012912693748902732,-0.0008498482142744738,-0.0004339225000517649,-9.998214274043278e-06,-0.00013797535714622913,0.0011942866964718226,0.0008838421428486217,0.0013412604463701378,0.0018246741072055841,0.002177611071483998,0.002595036517649377,0.003489876696684101,0.005365041785900196,0.007596143302965653,0.008699446250199798,0.007400178304124217,0.008951401249362277,0.020347865803844484,0.06156750384252963,0.27214239445877214,1.3219668922237107,2.8245855197687773,0.26399085030138275,-5.199071429345669e-05,-7.94858035805304e-05,8.598464284784369e-05,0.0005628994642410251,0.0008318514286753052
9,3.718,-0.0015007319641669457,-0.0010878057142551286,-0.0005863952679504834,-0.00018596678570719844,-0.0003224424107207544,0.001108801964309929,0.0005034100892733947,0.000839849999975553,0.001210783750022774,0.001636207767883691,0.0020931261605090816,0.002972469107339043,0.004495697053703948,0.006605820178030213,0.008644456071570664,0.008686448572040144,0.00909237607073925,0.01726991553598047,0.04213297491257531,0.20131804392527997,1.0282893440264516,2.957195835166759,0.5260055535795573,0.00014097482137199392,-0.00017796821428703633,-0.0002774504464254306,-0.0003994286606964386,-0.0003299410715048194
