0.00000,0.00006,-0.09208,0.00006,-0.00921,-0.09208
0.02000,0.00272,-0.07053,0.00272,-0.00705,-0.07053
0.04000,0.01309,0.16714,0.01309,0.01671,0.16714
0.06000,0.02697,0.90469,0.02697,0.09047,0.90469
0.08000,0.04086,2.03572,0.04086,0.20357,2.03572
0.10000,0.05349,3.26600,0.05349,0.32660,3.26600
0.12000,0.06539,4.46090,0.06539,0.44609,4.46090
0.14000,0.07695,5.56148,0.07695,0.55615,5.56148
0.16000,0.08846,6.57512,0.08846,0.65751,6.57512
0.18000,0.09979,7.55869,0.09979,0.75587,7.55869
0.20000,0.11084,8.48231,0.11084,0.84823,8.48231
0.22000,0.12178,9.26431,0.12178,0.92643,9.26431
0.24000,0.13283,10.04667,0.13283,1.00467,10.04667
0.26000,0.14405,10.93367,0.14405,1.09337,10.93367
0.28000,0.15521,11.88897,0.15521,1.18890,11.88897
0.30000,0.16615,12.86198,0.16615,1.28620,12.86198
0.32000,0.17703,13.86992,0.17703,1.38699,13.86992
0.34000,0.18796,14.84118,0.18796,1.48412,14.84118
0.36000,0.19913,15.78868,0.19913,1.57887,15.78868
0.38000,0.21012,16.78257,0.21012,1.67826,16.78257
0.40000,0.22111,17.80419,0.22111,1.78042,17.80419
0.42000,0.23199,18.80131,0.23199,1.88013,18.80131
0.44000,0.24299,19.74100,0.24299,1.97410,19.74100
0.46000,0.25404,20.71852,0.25404,2.07185,20.71852
0.48000,0.26509,21.73842,0.26509,2.17384,21.73842
0.50000,0.27608,22.78875,0.27608,2.27887,22.78875
0.52000,0.28702,23.87589,0.28702,2.38759,23.87589
0.54000,0.29801,24.96084,0.29801,2.49608,24.96084
0.56000,0.30900,26.01466,0.30900,2.60147,26.01466
0.58000,0.32005,27.08127,0.32005,2.70813,27.08127
0.60000,0.33099,28.14839,0.33099,2.81484,28.14839
0.62000,0.34187,29.23969,0.34187,2.92397,29.23969
0.64000,0.35292,30.37044,0.35292,3.03704,30.37044
0.66000,0.36403,31.55563,0.36403,3.15556,31.55563
0.68000,0.37519,32.79214,0.37519,3.27921,32.79214
0.70000,0.38613,34.05367,0.38613,3.40537,34.05367
0.72000,0.39701,35.30359,0.39701,3.53036,35.30359
0.74000,0.40800,36.52285,0.40800,3.65228,36.52285
0.76000,0.41911,37.74396,0.41911,3.77440,37.74396
0.78000,0.43021,38.98465,0.43021,3.89846,38.98465
0.80000,0.44115,40.22667,0.44115,4.02267,40.22667
0.82000,0.45203,41.45921,0.45203,4.14592,41.45921
0.84000,0.46302,42.65209,0.46302,4.26521,42.65209
0.86000,0.47407,43.83285,0.47407,4.38328,43.83285
0.88000,0.48518,45.05391,0.48518,4.50539,45.05391
0.90000,0.49612,46.25800,0.49612,4.62580,46.25800
0.92000,0.50700,47.45874,0.50700,4.74587,47.45874
0.94000,0.51793,48.62815,0.51793,4.86281,48.62815
0.96000,0.52904,49.79395,0.52904,4.97939,49.79395
0.98000,0.54020,50.97699,0.54020,5.09770,50.97699
1.00000,0.55120,52.15380,0.55120,5.21538,52.15380
1.02000,0.56202,53.29953,0.56202,5.32995,53.29953
1.04000,0.57290,54.43162,0.57290,5.44316,54.43162
1.06000,0.58395,55.57239,0.58395,5.55724,55.57239
1.08000,0.59511,56.71408,0.59511,5.67141,56.71408
1.10000,0.60622,57.85698,0.60622,5.78570,57.85698
1.12000,0.61710,58.99724,0.61710,5.89972,58.99724
1.14000,0.62798,60.11416,0.62798,6.01142,60.11416
1.16000,0.63903,61.21099,0.63903,6.12110,61.21099
1.18000,0.65014,62.32018,0.65014,6.23202,62.32018
1.20000,0.66130,63.43836,0.66130,6.34384,63.43836
1.22000,0.67218,64.55125,0.67218,6.45512,64.55125
1.24000,0.68300,65.63190,0.68300,6.56319,65.63190
1.26000,0.69400,66.71766,0.69400,6.67177,66.71766
1.28000,0.70510,67.79742,0.70510,6.77974,67.79742
1.30000,0.71621,68.88536,0.71621,6.88854,68.88536
1.32000,0.72720,69.95495,0.72720,6.99549,69.95495
1.34000,0.73808,71.01286,0.73808,7.10129,71.01286
1.36000,0.74902,72.08224,0.74902,7.20822,72.08224
1.38000,0.76007,73.14855,0.76007,7.31486,73.14855
1.40000,0.77118,74.21751,0.77118,7.42175,74.21751
1.42000,0.78217,75.29039,0.78217,7.52904,75.29039
1.44000,0.79311,76.34587,0.79311,7.63459,76.34587
1.46000,0.80399,77.38644,0.80399,7.73864,77.38644
1.48000,0.81509,78.44128,0.81509,7.84413,78.44128
1.50000,0.82614,79.50571,0.82614,7.95057,79.50571
1.52000,0.83719,80.57227,0.83719,8.05723,80.57227
1.54000,0.84807,81.62253,0.84807,8.16225,81.62253
1.56000,0.85895,82.66941,0.85895,8.26694,82.66941
1.58000,0.87000,83.69847,0.87000,8.36985,83.69847
1.60000,0.88111,84.73170,0.88111,8.47317,84.73170
1.62000,0.89216,85.79841,0.89216,8.57984,85.79841
1.64000,0.90310,86.84779,0.90310,8.68478,86.84779
1.66000,0.91403,87.89341,0.91403,8.78934,87.89341
1.68000,0.92503,88.91359,0.92503,8.89136,88.91359
1.70000,0.93613,89.94325,0.93613,8.99433,89.94325
1.72000,0.94713,90.97624,0.94713,9.09762,90.97624
1.74000,0.95801,92.00079,0.95801,9.20008,92.00079
1.76000,0.96900,93.01830,0.96900,9.30183,93.01830
1.78000,0.98005,94.04216,0.98005,9.40422,94.04216
1.80000,0.99121,95.07015,0.99121,9.50702,95.07015
1.82000,1.00221,96.09636,1.00221,9.60964,96.09636
1.84000,1.01309,97.10699,1.01309,9.71070,97.10699
